,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
20,19,37,13,28,28,41,19,36,18,33,29,31,-12,41,29,59,38,36,26,37,17,40,30,74,64,50,44,57,5,94,92,107,52,107,84,97,32.0,25.0,43.0,99.0,58.0,136.0,51.0,68.0,76.0,96.0,58.0,49.0,20.0,17.0,12.0,11.0,15.0,9.0,9.0,10.0,4.0,4.0,10.0,28.0,-12.0,10.0,2.0,12.0,-1.0,0.0,-1.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,-52.0,0.0,-10.0,0.0,-33.0,-31.0,-17.0,0.0,-3.0,0.0,-31.0,-18.0,-51.0,-35.0,-181.0,-277.0,-403.0,-410.0,-412.0,-408.0,-448.0,-512.0,-575.0,-607.0,-670.0,-682.0,-671.0,-688.0,-841.0,-845.0,-841.0,-739.0,-739.0,-873.0,-929.0,-967.0,-1035.0,-1054.0,-1079.0,-1083.0,-1143.0,-1164.0,-1164.0,-1169.0,-1171.0,-1171.0,-1171.0,-1188.0,-1312.0,-1337.0,-1441.0,-1442.0,-1474.0,-1512.0,,,,,,,,,,,,,,,,,,,,,,
21,25,28,23,31,7,20,7,16,4,23,11,20,-7,0,-11,-7,-27,49,-8,12,-1,48,10,15,25,34,22,61,26,36,22,31,-24,40,33,26,14.0,96.0,71.0,93.0,52.0,68.0,50.0,155.0,140.0,180.0,169.0,151.0,122.0,114.0,103.0,138.0,128.0,137.0,138.0,134.0,137.0,129.0,156.0,133.0,40.0,138.0,91.0,148.0,166.0,201.0,61.0,182.0,188.0,202.0,206.0,245.0,6.0,136.0,7.0,50.0,11.0,14.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,34,54,38,57,48,40,16,27,47,50,35,40,30,52,45,79,64,77,55,111,99,142,47,50,30,43,36,41,37,31,23,35,27,24,23,28,20.0,44.0,26.0,34.0,25.0,32.0,27.0,50.0,33.0,48.0,35.0,46.0,19.0,36.0,36.0,46.0,34.0,43.0,35.0,31.0,24.0,40.0,38.0,36.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,53.0,73.0,69.0,32.0,60.0,42.0,46.0,48.0,70.0,36.0,54.0,6.0,159.0,111.0,105.0,89.0,117.0,90.0,205.0,179.0,245.0,236.0,468.0,209.0,269.0,285.0,379.0,366.0,510.0,411.0,401.0,436.0,442.0,348.0,322.0,349.0,332.0,353.0,596.0,559.0,793.0,705.0,751.0,747.0,912.0,664.0,644.0,597.0,974.0,702.0,777.0,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,30,38,37,36,0,11,0,0,1,28,-7,28,-26,-7,-33,0,-59,-15,-54,-41,-68,-64,-70,-63,-80,-50,-51,12,-16,40,0,0,0,0,0,-2,-12.0,6.0,-14.0,-2.0,-12.0,-4.0,-57.0,-53.0,-62.0,-29.0,-86.0,-48.0,-72.0,-12.0,-22.0,-14.0,-34.0,-14.0,-24.0,0.0,0.0,0.0,-12.0,-2.0,-17.0,-1.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-5.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23,46,28,43,29,61,45,65,49,62,55,65,64,63,63,63,61,59,58,55,31,35,29,59,43,87,61,68,66,63,50,39,37,53,44,162,116.0,139.0,125.0,108.0,85.0,83.0,99.0,82.0,87.0,95.0,66.0,88.0,87.0,92.0,91.0,82.0,96.0,65.0,19.0,125.0,122.0,136.0,17.0,180.0,165.0,175.0,153.0,167.0,58.0,183.0,105.0,244.0,202.0,281.0,122.0,143.0,132.0,147.0,134.0,146.0,189.0,190.0,196.0,282.0,303.0,298.0,298.0,351.0,357.0,412.0,405.0,452.0,353.0,453.0,187.0,154.0,58.0,63.0,50.0,54.0,44.0,40.0,16.0,6.0,12.0,20.0,0.0,45.0,50.0,45.0,2.0,30.0,30.0,16.0,8.0,62.0,57.0,57.0,58.0,65.0,65.0,60.0,61.0,60.0,57.0,57.0,57.0,58.0,54.0,54.0,51.0,54.0,46.0,46.0,0.0,0.0,-50.0,-52.0,,,,,,,,,,,,,,,,
25,20,49,32,67,17,28,19,16,22,29,17,22,18,40,32,27,17,31,19,13,18,15,4,25,21,29,13,22,-7,18,18,26,11,10,12,19,-1.0,13.0,-7.0,13.0,0.0,0.0,-18.0,-3.0,-23.0,-27.0,-55.0,-29.0,-50.0,-5.0,-29.0,-20.0,-42.0,-10.0,-30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,11,58,28,33,39,48,30,66,58,65,56,61,62,80,32,107,75,91,62,72,25,41,49,68,50,65,63,69,55,60,58,65,53,79,80,83,21.0,13.0,18.0,8.0,10.0,14.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,25,20,15,49,25,57,45,64,50,56,33,37,12,44,8,9,0,5,-37,-24,-51,-18,-45,-19,-16,-2,-29,217,220,312,243,301,321,303,317,326,325.0,342.0,318.0,336.0,234.0,346.0,376.0,357.0,328.0,313.0,297.0,301.0,271.0,266.0,281.0,287.0,281.0,301.0,274.0,419.0,316.0,418.0,361.0,429.0,394.0,410.0,431.0,473.0,491.0,552.0,504.0,602.0,629.0,636.0,436.0,525.0,510.0,617.0,644.0,601.0,615.0,606.0,631.0,761.0,801.0,787.0,823.0,1056.0,691.0,700.0,694.0,712.0,627.0,688.0,600.0,592.0,597.0,630.0,621.0,692.0,550.0,554.0,586.0,736.0,485.0,499.0,485.0,500.0,502.0,527.0,502.0,502.0,491.0,523.0,489.0,510.0,515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,35,49,33,61,25,25,17,70,17,16,-77,123,85,112,78,117,120,163,143,198,104,137,137,161,48,69,-151,-116,-119,-123,-128,-125,-135,-145,-166,-90,-160.0,-101.0,-146.0,-144.0,-150.0,-121.0,-149.0,-137.0,-224.0,-62.0,-216.0,-181.0,-178.0,-136.0,-186.0,-187.0,-175.0,-189.0,-170.0,-176.0,-187.0,-124.0,-213.0,-213.0,-231.0,-175.0,-211.0,-162.0,-295.0,-264.0,-322.0,-320.0,-677.0,-729.0,-741.0,-691.0,-777.0,-741.0,-776.0,-701.0,-613.0,-439.0,-864.0,-543.0,-568.0,-481.0,-530.0,-565.0,-1018.0,-593.0,-697.0,-589.0,-571.0,-525.0,-623.0,-657.0,-733.0,-754.0,-792.0,-786.0,-927.0,-684.0,-726.0,-747.0,-773.0,-648.0,-632.0,-548.0,-617.0,-599.0,-854.0,-499.0,-829.0,-678.0,-838.0,-851.0,-932.0,-957.0,-6714.0,-6772.0,-9997.0,-9998.0,-9998.0,-9995.0,-9995.0,-9997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,12,38,39,35,43,76,56,55,19,22,-34,1,0,-16,-8,-39,-69,8,-24,0,-40,-24,-58,-5,-101,-97,-110,-1,9,4,3,21,29,40,-25,-26,-70.0,-48.0,-149.0,-180.0,-277.0,-274.0,-299.0,-255.0,-294.0,-275.0,-311.0,-324.0,-353.0,-367.0,-600.0,-306.0,-330.0,-337.0,-347.0,-250.0,-387.0,-387.0,-397.0,-386.0,-400.0,-375.0,-385.0,-337.0,-384.0,-357.0,-446.0,-468.0,-500.0,-405.0,-480.0,-438.0,-463.0,-464.0,-563.0,-538.0,-526.0,-540.0,-595.0,-571.0,-650.0,-627.0,-677.0,-648.0,-662.0,-687.0,-705.0,-640.0,-669.0,-654.0,-690.0,-696.0,-714.0,-649.0,-644.0,-716.0,-742.0,-715.0,-718.0,-719.0,-778.0,-809.0,-857.0,-874.0,-862.0,-844.0,-881.0,-892.0,-872.0,-867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
