,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
22,25,32,38,50,33,46,15,31,23,25,4,28,21,34,36,32,45,41,19,27,-6.0,7.0,0.0,1.0,-7.0,41.0,-2.0,25.0,-15.0,-1.0,-21.0,42.0,15.0,17.0,12.0,16.0,12.0,14.0,11.0,22.0,18.0,22.0,0.0,4.0,2.0,8.0,-24.0,21.0,16.0,24.0,24.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,28,31,35,37,36,49,35,44,-4,67,8,12,0,9,0,-17,-27,-17,-31,-24,-22.0,-31.0,-45.0,-9.0,-18.0,10.0,14.0,5.0,3.0,0.0,-7.0,19.0,9.0,15.0,3.0,5.0,0.0,94.0,78.0,84.0,113.0,141.0,138.0,137.0,116.0,92.0,101.0,425.0,413.0,457.0,497.0,477.0,484.0,489.0,472.0,466.0,510.0,525.0,519.0,485.0,499.0,510.0,476.0,509.0,537.0,575.0,602.0,629.0,576.0,576.0,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,11,57,-16,-36,-35,27,12,19,22,30,-2,-7,-25,5,-30,0,0,21,4,73,59.0,46.0,71.0,177.0,200.0,207.0,207.0,231.0,187.0,309.0,333.0,358.0,145.0,165.0,80.0,96.0,126.0,136.0,95.0,63.0,37.0,47.0,33.0,134.0,130.0,179.0,147.0,195.0,175.0,201.0,230.0,214.0,222.0,227.0,27.0,6.0,-31.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,34,43,32,41,30,29,24,60,48,45,50,63,31,37,22,34,35,37,36,51,35.0,49.0,48.0,68.0,52.0,61.0,26.0,54.0,52.0,64.0,42.0,59.0,51.0,67.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,28,33,19,34,23,25,36,29,8,55,26,51,43,41,46,67,48,66,42,62,58.0,64.0,35.0,120.0,100.0,123.0,154.0,248.0,198.0,219.0,205.0,188.0,171.0,289.0,301.0,355.0,331.0,333.0,345.0,315.0,361.0,432.0,324.0,308.0,196.0,297.0,237.0,270.0,164.0,162.0,180.0,349.0,310.0,346.0,330.0,340.0,358.0,442.0,437.0,448.0,441.0,474.0,486.0,537.0,518.0,693.0,728.0,724.0,720.0,764.0,769.0,892.0,901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,15,103,58,74,36,66,29,35,7,15,10,5,16,10,-2,33,-2,11,-4,17,-10.0,48.0,50.0,45.0,-50.0,-7.0,-3.0,-2.0,-15.0,-6.0,-2.0,9.0,-20.0,-6.0,4.0,10.0,0.0,3.0,-1.0,5.0,10.0,13.0,29.0,13.0,0.0,0.0,0.0,0.0,0.0,-2.0,-35.0,-62.0,-71.0,-60.0,-102.0,-104.0,-118.0,-78.0,-137.0,-133.0,-174.0,-91.0,-106.0,-76.0,-103.0,-91.0,-93.0,-101.0,-156.0,-88.0,-143.0,-128.0,-172.0,-182.0,-200.0,-195.0,-182.0,-156.0,-214.0,-216.0,-223.0,-216.0,-265.0,-41.0,-270.0,-57.0,-488.0,-521.0,-653.0,-541.0,-518.0,-550.0,-502.0,-608.0,-667.0,-622.0,-685.0,-517.0,-778.0,-806.0,-884.0,-862.0,-984.0,-987.0,-1086.0,-1132.0,-1124.0,-1159.0,-1230.0,-1268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20,28,23,24,20,36,20,52,-9,62,27,94,52,141,117,157,151,172,84,93,62.0,245.0,157.0,225.0,213.0,222.0,270.0,426.0,433.0,523.0,454.0,472.0,483.0,545.0,557.0,544.0,512.0,539.0,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,17,81,36,88,36,58,23,23,23,72,27,35,34,35,-3,23,0,2,6,24,-19.0,48.0,-23.0,-15.0,-65.0,26.0,-102.0,30.0,-70.0,-62.0,-275.0,-249.0,-304.0,-148.0,-244.0,-121.0,-127.0,-120.0,-164.0,-160.0,-146.0,-140.0,-138.0,-103.0,-156.0,-104.0,-195.0,-202.0,-154.0,-99.0,-148.0,-136.0,-148.0,-128.0,-274.0,-219.0,-222.0,-86.0,-76.0,-69.0,-163.0,-114.0,-695.0,-714.0,-723.0,-732.0,-744.0,-753.0,-765.0,-742.0,-772.0,-756.0,-764.0,-767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,17,36,37,50,0,0,0,28,11,16,23,16,22,24,20,15,8,42,19,30,11.0,23.0,0.0,21.0,13.0,35.0,12.0,24.0,-14.0,99.0,46.0,133.0,127.0,165.0,161.0,167.0,162.0,143.0,123.0,250.0,225.0,238.0,217.0,271.0,266.0,281.0,266.0,300.0,273.0,277.0,227.0,320.0,325.0,349.0,324.0,338.0,331.0,294.0,232.0,227.0,256.0,320.0,337.0,325.0,336.0,474.0,463.0,524.0,494.0,459.0,524.0,572.0,562.0,686.0,667.0,732.0,725.0,768.0,760.0,829.0,757.0,772.0,685.0,636.0,470.0,560.0,514.0,531.0,556.0,681.0,666.0,758.0,740.0,804.0,541.0,486.0,490.0,728.0,723.0,728.0,728.0,781.0,786.0,793.0,836.0,952.0,986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,25,40,36,55,39,49,11,14,10,36,20,40,23,37,23,46,28,33,29,68,21.0,26.0,21.0,53.0,18.0,68.0,27.0,143.0,110.0,188.0,17.0,45.0,-32.0,-14.0,-17.0,-2.0,-84.0,-76.0,-108.0,-61.0,-114.0,-90.0,-117.0,-125.0,-125.0,81.0,29.0,61.0,80.0,82.0,44.0,52.0,-151.0,-74.0,-120.0,-112.0,-163.0,-159.0,-193.0,-130.0,-579.0,-566.0,-566.0,-585.0,-1168.0,-1187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
