,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
85,GCT Blitz Paris 2021,Paris FRA,2021.06.22,11.3,"Vachier Lagrave,M","Firouzja,Alireza",1-0,2759,B30,2760
86,GCT Blitz Paris 2021,Paris FRA,2021.06.22,12.4,"Firouzja,Alireza","Svidler,P",1-0,2714,C28,2759
87,GCT Blitz Paris 2021,Paris FRA,2021.06.22,13.2,"Aronian,L","Firouzja,Alireza",1/2-1/2,2759,D02,2781
88,GCT Blitz Paris 2021,Paris FRA,2021.06.22,14.5,"Firouzja,Alireza","Kramnik,V",1-0,2753,C26,2759
89,GCT Blitz Paris 2021,Paris FRA,2021.06.22,15.1,"Firouzja,Alireza","Rapport,R",0-1,2763,B40,2759
90,GCT Blitz Paris 2021,Paris FRA,2021.06.22,16.5,"So,W","Firouzja,Alireza",1-0,2759,E49,2770
91,GCT Blitz Paris 2021,Paris FRA,2021.06.22,17.2,"Firouzja,Alireza","Nepomniachtchi,I",1-0,2792,C11,2759
92,GCT Blitz Paris 2021,Paris FRA,2021.06.22,18.4,"Caruana,F","Firouzja,Alireza",1-0,2759,B30,2820
93,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.15,2.1,"Firouzja,Alireza","Sindarov,Javokhir",1/2-1/2,2558,A15,2759
94,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.16,2.2,"Sindarov,Javokhir","Firouzja,Alireza",1/2-1/2,2759,B90,2558
95,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.17,2.6,"Sindarov,Javokhir","Firouzja,Alireza",1/2-1/2,2759,B90,2558
96,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.17,2.5,"Firouzja,Alireza","Sindarov,Javokhir",0-1,2558,E91,2759
97,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.17,2.4,"Firouzja,Alireza","Sindarov,Javokhir",1/2-1/2,2558,D96,2759
98,FIDE World Cup 2021,Krasnaya Polyana RUS,2021.07.17,2.3,"Sindarov,Javokhir","Firouzja,Alireza",1/2-1/2,2759,B10,2558
99,9th Norway Armageddon,Stavanger NOR,2021.09.07,1.1,"Firouzja,Alireza","Carlsen,M",1/2-1/2,2855,B30,2754
100,9th Norway Chess 2021,Stavanger NOR,2021.09.07,1.1,"Firouzja,Alireza","Carlsen,M",1/2-1/2,2855,B30,2754
101,9th Norway Chess 2021,Stavanger NOR,2021.09.08,2.2,"Nepomniachtchi,I","Firouzja,Alireza",1/2-1/2,2754,C78,2792
102,9th Norway Armageddon,Stavanger NOR,2021.09.08,2.2,"Nepomniachtchi,I","Firouzja,Alireza",1-0,2754,C34,2792
103,9th Norway Armageddon,Stavanger NOR,2021.09.09,3.3,"Firouzja,Alireza","Karjakin,Sergey",0-1,2758,A01,2754
104,9th Norway Chess 2021,Stavanger NOR,2021.09.09,3.3,"Firouzja,Alireza","Karjakin,Sergey",1/2-1/2,2758,C53,2754
105,9th Norway Chess 2021,Stavanger NOR,2021.09.10,4.2,"Rapport,R","Firouzja,Alireza",1-0,2754,D90,2760
106,9th Norway Chess 2021,Stavanger NOR,2021.09.12,5.3,"Firouzja,Alireza","Tari,A",1-0,2642,C50,2754
107,9th Norway Chess 2021,Stavanger NOR,2021.09.13,6.1,"Carlsen,M","Firouzja,Alireza",1-0,2754,C78,2855
108,9th Norway Chess 2021,Stavanger NOR,2021.09.14,7.3,"Firouzja,Alireza","Nepomniachtchi,I",1-0,2792,C50,2754
109,9th Norway Chess 2021,Stavanger NOR,2021.09.15,8.3,"Karjakin,Sergey","Firouzja,Alireza",0-1,2754,B90,2758
110,9th Norway Chess 2021,Stavanger NOR,2021.09.16,9.3,"Tari,A","Firouzja,Alireza",0-1,2754,B90,2642
111,9th Norway Chess 2021,Stavanger NOR,2021.09.17,10.2,"Firouzja,Alireza","Rapport,R",1-0,2760,B30,2754
112,FIDE Grand Swiss 2021,Riga LAT,2021.10.27,1.3,"Firouzja,Alireza","Abasov,N",1-0,2638,C43,2770
113,FIDE Grand Swiss 2021,Riga LAT,2021.10.28,2.2,"Swiercz,D","Firouzja,Alireza",0-1,2770,B93,2647
114,FIDE Grand Swiss 2021,Riga LAT,2021.10.29,3.1,"Firouzja,Alireza","Predke,A",1-0,2666,C92,2770
115,FIDE Grand Swiss 2021,Riga LAT,2021.10.30,4.1,Yu Yangyi,"Firouzja,Alireza",1/2-1/2,2770,D19,2704
116,FIDE Grand Swiss 2021,Riga LAT,2021.10.31,5.1,"Firouzja,Alireza","Vachier Lagrave,M",1/2-1/2,2763,B90,2770
117,FIDE Grand Swiss 2021,Riga LAT,2021.11.01,6.1,"Shirov,A","Firouzja,Alireza",1/2-1/2,2770,B12,2659
118,FIDE Grand Swiss 2021,Riga LAT,2021.11.03,7.1,"Firouzja,Alireza","Najer,E",1-0,2654,C43,2770
119,FIDE Grand Swiss 2021,Riga LAT,2021.11.04,8.1,"Firouzja,Alireza","Sasikiran,K",1-0,2640,C53,2770
120,FIDE Grand Swiss 2021,Riga LAT,2021.11.05,9.1,"Caruana,F","Firouzja,Alireza",1-0,2770,B12,2800
121,FIDE Grand Swiss 2021,Riga LAT,2021.11.06,10.1,"Firouzja,Alireza","Howell,D",1-0,2658,C50,2770
122,FIDE Grand Swiss 2021,Riga LAT,2021.11.07,11.1,"Oparin,G","Firouzja,Alireza",1/2-1/2,2770,C65,2654
123,23rd European Teams,Terme Catez SLO,2021.11.12,1.3,"Ragger,M","Firouzja,Alireza",0-1,2770,B11,2668
124,23rd European Teams,Terme Catez SLO,2021.11.13,2.3,"Firouzja,Alireza","Saric,Iv",1/2-1/2,2665,B90,2770
125,23rd European Teams,Terme Catez SLO,2021.11.14,3.3,"Erdos,V","Firouzja,Alireza",0-1,2770,B11,2615
126,23rd European Teams,Terme Catez SLO,2021.11.15,4.5,"Firouzja,Alireza","Yilmaz,M",1-0,2626,B90,2770
127,23rd European Teams,Terme Catez SLO,2021.11.16,5.3,"Sargissian,G","Firouzja,Alireza",0-1,2770,D19,2664
128,23rd European Teams,Terme Catez SLO,2021.11.18,6.5,"Firouzja,Alireza","Mastrovasilis,D",1-0,2619,B47,2770
129,23rd European Teams,Terme Catez SLO,2021.11.19,7.4,"Firouzja,Alireza","Jobava,Ba",1-0,2582,B12,2770
130,23rd European Teams,Terme Catez SLO,2021.11.20,8.2,"Grischuk,A","Firouzja,Alireza",1/2-1/2,2770,C78,2773
131,23rd European Teams,Terme Catez SLO,2021.11.21,9.1,"Firouzja,Alireza","Mamedyarov,S",1-0,2765,C50,2770
132,World Rapid 2021,Warsaw POL,2021.12.26,1.33,"Firouzja,Alireza","Costachi,M",1/2-1/2,2463,C72,2804
133,World Rapid 2021,Warsaw POL,2021.12.26,2.46,"Martirosyan,Haik M.","Firouzja,Alireza",0-1,2804,D76,2621
134,World Rapid 2021,Warsaw POL,2021.12.26,3.26,"Firouzja,Alireza","Jakubowski,K",1-0,2471,D02,2804
135,World Rapid 2021,Warsaw POL,2021.12.26,4.7,"Aronian,L","Firouzja,Alireza",1/2-1/2,2804,B13,2772
