,Event,Site,Date,Round,White,Black,Result,BlackElo,ECO,WhiteElo
2512,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.10.29,2.4,"Topalov,V","Gozzoli,Y",1-0,2602,C92,2730
2513,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.10.29,3.2,"Bulmaga,I","Topalov,V",1-0,2730,C45,2396
2514,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.10.30,4.3,"Topalov,V","Dardha,Daniel",1/2-1/2,2527,B30,2730
2515,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.10.30,5.3,"Kamsky,G","Topalov,V",1/2-1/2,2730,D02,2662
2516,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.10.31,6.2,"Topalov,V","Salimova,Nurgyul",1-0,2364,C55,2730
2517,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.10.31,7.4,"Moroni,L","Topalov,V",1/2-1/2,2730,D02,2575
2518,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.10.31,8.1,"Sebag,M","Topalov,V",1-0,2730,B52,2447
2519,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.11.01,9.4,"Gozzoli,Y","Topalov,V",1/2-1/2,2730,D43,2602
2520,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.11.01,10.2,"Topalov,V","Bulmaga,I",1-0,2396,B90,2730
2521,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.11.02,11.3,"Dardha,Daniel","Topalov,V",0-1,2730,C53,2527
2522,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.11.02,12.3,"Topalov,V","Kamsky,G",1/2-1/2,2662,B06,2730
2523,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.11.03,13.2,"Salimova,Nurgyul","Topalov,V",1/2-1/2,2730,A45,2364
2524,Anatoly Karpov Trophy,Cap d'Agde FRA,2021.11.03,14.4,"Topalov,V","Moroni,L",1/2-1/2,2575,C49,2730
2525,Karpov Trophy Final 2021,Cap d'Agde FRA,2021.11.04,1.1,"Dardha,Daniel","Topalov,V",1-0,2730,A45,2525
2526,Karpov Trophy Final 2021,Cap d'Agde FRA,2021.11.04,1.4,"Dardha,Daniel","Topalov,V",1/2-1/2,2730,B23,2525
2527,Karpov Trophy Final 2021,Cap d'Agde FRA,2021.11.04,1.2,"Topalov,V","Dardha,Daniel",1-0,2525,B30,2730
2528,Karpov Trophy Final 2021,Cap d'Agde FRA,2021.11.04,1.3,"Topalov,V","Dardha,Daniel",1-0,2525,B30,2730
2529,Karpov Trophy Final 2021,Cap d'Agde FRA,2021.11.05,2.2,"Moroni,L","Topalov,V",1/2-1/2,2730,D38,2580
2530,Karpov Trophy Final 2021,Cap d'Agde FRA,2021.11.05,2.1,"Topalov,V","Moroni,L",1-0,2580,C76,2730
2531,4th Salamanca Masters,Salamanca ESP,2021.12.15,1.4,"Topalov,V","Javakhishvili,L",1-0,2479,B47,2730
2532,4th Salamanca Masters,Salamanca ESP,2021.12.15,2.2,"Santos Latasa,J","Topalov,V",1-0,2730,C95,2639
2533,4th Salamanca Masters,Salamanca ESP,2021.12.16,3.3,"Topalov,V","Cramling,P",1-0,2452,B29,2730
2534,4th Salamanca Masters,Salamanca ESP,2021.12.17,4.3,"Shirov,A","Topalov,V",1/2-1/2,2730,C42,2704
2535,4th Salamanca Masters,Salamanca ESP,2021.12.17,5.2,"Topalov,V","Edouard,R",0-1,2588,B30,2730
2536,4th Salamanca Masters,Salamanca ESP,2021.12.18,6.4,"Vega Gutierrez,S","Topalov,V",1/2-1/2,2730,B54,2385
2537,4th Salamanca Masters,Salamanca ESP,2021.12.18,7.1,"Topalov,V","Matnadze,A",0-1,2423,B63,2730
2538,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,1.2,"Giri,A","Topalov,V",1-0,2730,B67,2761
2539,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,2.4,"Topalov,V",Wang Hao,1-0,2744,A20,2730
2540,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,3.3,"Anand,V","Topalov,V",1-0,2730,B67,2751
2541,10th Norway Blitz 2022,Stavanger NOR,2022.05.30,4.3,"Topalov,V","Mamedyarov,S",0-1,2759,A20,2730
