,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
21,0.0,1.0,39.0,9.0,12.0,1.0,15.0,29.0,72.0,28.0,40.0,0.0,8.0,0.0,27.0,40.0,14.0,11.0,19.0,44.0,3.0,0.0,7.0,0.0,57.0,27.0,62.0,0.0,123.0,336.0,0.0,41.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,14.0,29.0,0.0,13.0,4.0,1.0,0.0,12.0,15.0,8.0,0.0,10.0,8.0,11.0,0.0,0.0,22.0,0.0,14.0,0.0,5.0,0.0,2.0,1.0,5.0,6.0,23.0,9.0,18.0,4.0,18.0,5.0,0.0,0.0,39.0,0.0,0.0,10.0,0.0,12.0,0.0,42.0,0.0,19.0,11.0,34.0,8.0,35.0,22.0,19.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,17.0,13.0,40.0,41.0,15.0,12.0,9.0,5.0,0.0,2.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9.0,17.0,10.0,33.0,10.0,15.0,7.0,0.0,7.0,17.0,2.0,28.0,9.0,6.0,16.0,16.0,2.0,17.0,9.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9.0,0.0,0.0,12.0,19.0,0.0,4.0,2.0,0.0,15.0,0.0,13.0,0.0,53.0,27.0,0.0,40.0,201.0,42.0,0.0,0.0,0.0,17.0,17.0,5.0,16.0,21.0,13.0,36.0,0.0,94.0,29.0,2.0,5.0,0.0,44.0,24.0,47.0,13.0,32.0,13.0,8.0,75.0,59.0,143.0,150.0,208.0,32.0,27.0,376.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,6.0,15.0,10.0,14.0,0.0,8.0,11.0,0.0,28.0,25.0,0.0,3.0,15.0,50.0,6.0,39.0,56.0,0.0,19.0,5.0,27.0,187.0,57.0,26.0,0.0,3.0,63.0,0.0,14.0,0.0,13.0,21.0,11.0,0.0,8.0,39.0,30.0,21.0,21.0,0.0,0.0,17.0,29.0,77.0,0.0,0.0,59.0,90.0,90.0,26.0,1.0,17.0,0.0,12.0,0.0,50.0,28.0,39.0,6.0,13.0,12.0,2.0,4.0,12.0,43.0,0.0,107.0,0.0,14.0,0.0,0.0,2.0,24.0,0.0,0.0,4.0,32.0,99.0,222.0,112.0,174.0,30.0,4.0,234.0,38.0,57.0,0.0,0.0,0.0,292.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,19.0,54.0,2.0,8.0,4.0,17.0,0.0,27.0,11.0,12.0,6.0,39.0,5.0,0.0,4.0,8.0,5.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,8.0,4.0,2.0,13.0,24.0,12.0,0.0,0.0,0.0,11.0,0.0,49.0,0.0,0.0,1.0,0.0,3.0,23.0,134.0,108.0,20.0,10.0,260.0,22.0,0.0,7.0,331.0,1.0,106.0,35.0,122.0,18.0,335.0,49.0,60.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4.0,18.0,16.0,15.0,11.0,8.0,0.0,0.0,37.0,4.0,15.0,26.0,8.0,17.0,31.0,47.0,5.0,3.0,17.0,9.0,4.0,4.0,2.0,0.0,99.0,67.0,9.0,29.0,18.0,35.0,18.0,63.0,18.0,19.0,65.0,215.0,0.0,34.0,8.0,0.0,5.0,21.0,0.0,12.0,164.0,20.0,276.0,23.0,33.0,11.0,357.0,41.0,82.0,41.0,0.0,25.0,80.0,597.0,0.0,0.0,235.0,24.0,160.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.0,38.0,24.0,5.0,9.0,34.0,36.0,20.0,0.0,11.0,11.0,45.0,8.0,47.0,5.0,0.0,10.0,3.0,34.0,7.0,101.0,18.0,14.0,19.0,0.0,103.0,27.0,30.0,1.0,0.0,17.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,13.0,5.0,9.0,23.0,20.0,14.0,3.0,0.0,18.0,26.0,65.0,2.0,2.0,0.0,50.0,95.0,46.0,0.0,8.0,0.0,174.0,15.0,32.0,0.0,13.0,0.0,103.0,25.0,45.0,14.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,40.0,125.0,0.0,0.0,6.0,0.0,104.0,0.0,13.0,63.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,9.0,21.0,35.0,0.0,42.0,0.0,1.0,18.0,31.0,72.0,28.0,53.0,0.0,0.0,22.0,0.0,37.0,157.0,115.0,46.0,131.0,162.0,27.0,64.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
