,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
23,37.0,2.0,14.0,0.0,7.0,18.0,47.0,5.0,6.0,70.0,27.0,34.0,0.0,9.0,33.0,43.0,14.0,0.0,0.0,61.0,0.0,10.0,41.0,0.0,50.0,0.0,39.0,25.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5.0,18.0,3.0,20.0,0.0,25.0,53.0,16.0,63.0,5.0,7.0,0.0,35.0,41.0,28.0,0.0,0.0,9.0,24.0,2.0,18.0,17.0,6.0,8.0,0.0,0.0,8.0,4.0,30.0,0.0,0.0,32.0,3.0,27.0,44.0,0.0,60.0,96.0,0.0,43.0,33.0,63.0,56.0,41.0,30.0,201.0,51.0,85.0,31.0,35.0,0.0,19.0,31.0,62.0,0.0,0.0,133.0,0.0,0.0,0.0,251.0,27.0,70.0,13.0,0.0,0.0,0.0,0.0,522.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,0.0,48.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
25,30.0,2.0,6.0,0.0,39.0,17.0,40.0,0.0,48.0,2.0,30.0,0.0,21.0,43.0,21.0,23.0,56.0,0.0,34.0,0.0,6.0,0.0,1.0,0.0,89.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,18.0,32.0,17.0,29.0,0.0,12.0,0.0,6.0,6.0,5.0,75.0,5.0,48.0,38.0,30.0,49.0,20.0,36.0,40.0,133.0,24.0,35.0,0.0,8.0,42.0,17.0,41.0,0.0,0.0,0.0,0.0,41.0,26.0,16.0,3.0,47.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,21.0,18.0,18.0,27.0,7.0,41.0,0.0,65.0,23.0,40.0,4.0,18.0,12.0,3.0,20.0,10.0,14.0,21.0,12.0,0.0,38.0,59.0,2.0,82.0,63.0,0.0,29.0,5.0,21.0,86.0,27.0,54.0,33.0,313.0,15.0,15.0,1.0,13.0,18.0,0.0,3.0,0.0,16.0,0.0,95.0,63.0,122.0,0.0,0.0,0.0,279.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,49.0,12.0,0.0,41.0,9.0,12.0,19.0,0.0,50.0,37.0,8.0,20.0,0.0,35.0,70.0,108.0,54.0,15.0,0.0,20.0,24.0,0.0,29.0,22.0,14.0,0.0,0.0,61.0,26.0,56.0,144.0,49.0,99.0,12.0,412.0,78.0,182.0,27.0,0.0,20.0,49.0,28.0,0.0,62.0,279.0,111.0,0.0,79.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5.0,43.0,6.0,8.0,7.0,4.0,5.0,0.0,2.0,18.0,21.0,21.0,15.0,128.0,63.0,23.0,14.0,7.0,9.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,21.0,0.0,37.0,12.0,0.0,6.0,0.0,8.0,0.0,11.0,23.0,0.0,13.0,13.0,0.0,0.0,0.0,17.0,27.0,107.0,0.0,2.0,0.0,14.0,15.0,12.0,2.0,14.0,0.0,0.0,4.0,11.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,8.0,2.0,36.0,58.0,23.0,10.0,20.0,39.0,13.0,25.0,66.0,33.0,11.0,61.0,0.0,25.0,36.0,14.0,45.0,0.0,9.0,11.0,63.0,25.0,13.0,10.0,31.0,4.0,2.0,64.0,4.0,0.0,119.0,16.0,26.0,15.0,30.0,6.0,11.0,1.0,0.0,18.0,10.0,0.0,15.0,16.0,0.0,14.0,0.0,55.0,0.0,0.0,146.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,29.0,0.0,15.0,44.0,6.0,16.0,6.0,35.0,43.0,1.0,6.0,10.0,7.0,10.0,38.0,10.0,0.0,3.0,27.0,0.0,0.0,13.0,0.0,0.0,38.0,9.0,2.0,18.0,21.0,0.0,42.0,5.0,4.0,34.0,12.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,6.0,8.0,9.0,4.0,0.0,0.0,5.0,11.0,0.0,0.0,11.0,0.0,0.0,6.0,5.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34.0,8.0,5.0,28.0,9.0,2.0,14.0,10.0,43.0,21.0,12.0,0.0,10.0,0.0,83.0,15.0,18.0,52.0,9.0,0.0,37.0,5.0,67.0,16.0,53.0,38.0,0.0,11.0,0.0,24.0,40.0,20.0,0.0,0.0,14.0,0.0,22.0,0.0,0.0,5.0,0.0,41.0,0.0,0.0,0.0,0.0,102.0,18.0,101.0,0.0,93.0,0.0,0.0,24.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11.0,39.0,10.0,17.0,8.0,12.0,11.0,7.0,0.0,0.0,22.0,0.0,14.0,65.0,47.0,0.0,12.0,0.0,21.0,0.0,6.0,35.0,4.0,43.0,26.0,0.0,0.0,0.0,19.0,43.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,0.0,12.0,0.0,0.0,17.0,11.0,0.0,11.0,0.0,0.0,12.0,8.0,15.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7.0,6.0,16.0,7.0,0.0,6.0,0.0,22.0,3.0,32.0,11.0,0.0,15.0,0.0,26.0,5.0,0.0,5.0,39.0,12.0,0.0,0.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,0.0,7.0,18.0,12.0,86.0,26.0,0.0,0.0,40.0,26.0,15.0,11.0,0.0,0.0,0.0,123.0,68.0,24.0,18.0,120.0,24.0,116.0,68.0,0.0,27.0,27.0,0.0,51.0,32.0,35.0,0.0,91.0,44.0,44.0,0.0,25.0,67.0,9.0,9.0,0.0,28.0,3.0,50.0,23.0,50.0,7.0,3.0,42.0,131.0,143.0,152.0,75.0,175.0,46.0,85.0,64.0,150.0,53.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,12.0,50.0,11.0,4.0,4.0,7.0,6.0,4.0,35.0,0.0,12.0,2.0,0.0,81.0,48.0,11.0,0.0,14.0,16.0,22.0,12.0,43.0,27.0,10.0,24.0,39.0,0.0,2.0,25.0,11.0,2.0,117.0,7.0,51.0,42.0,0.0,38.0,17.0,198.0,8.0,507.0,15.0,74.0,109.0,12.0,120.0,21.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,0.0,23.0,11.0,8.0,16.0,10.0,0.0,93.0,0.0,0.0,26.0,18.0,0.0,233.0,0.0,40.0,0.0,15.0,0.0,0.0,10.0,0.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,28.0,12.0,21.0,8.0,17.0,13.0,8.0,55.0,0.0,0.0,0.0,0.0,34.0,70.0,26.0,30.0,95.0,60.0,0.0,2.0,4.0,0.0,22.0,23.0,7.0,15.0,16.0,0.0,0.0,17.0,5.0,0.0,0.0,12.0,64.0,65.0,8.0,72.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6.0,21.0,25.0,22.0,18.0,11.0,39.0,26.0,40.0,17.0,19.0,29.0,29.0,2.0,25.0,34.0,40.0,55.0,34.0,7.0,0.0,0.0,29.0,34.0,11.0,11.0,32.0,20.0,70.0,9.0,32.0,83.0,20.0,80.0,51.0,29.0,92.0,0.0,5.0,3.0,95.0,31.0,0.0,32.0,18.0,0.0,0.0,0.0,0.0,43.0,2.0,0.0,0.0,0.0,30.0,118.0,13.0,90.0,0.0,0.0,435.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,17.0,9.0,0.0,14.0,0.0,0.0,6.0,0.0,0.0,28.0,30.0,31.0,73.0,14.0,0.0,2.0,0.0,0.0,0.0,11.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15.0,19.0,18.0,5.0,5.0,3.0,56.0,16.0,8.0,12.0,17.0,13.0,0.0,22.0,38.0,16.0,23.0,0.0,15.0,6.0,11.0,4.0,9.0,13.0,26.0,45.0,7.0,13.0,25.0,29.0,0.0,39.0,36.0,17.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,21.0,38.0,3.0,12.0,23.0,14.0,27.0,16.0,13.0,13.0,18.0,0.0,24.0,25.0,25.0,15.0,41.0,11.0,0.0,0.0,0.0,174.0,33.0,2.0,0.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,10.0,19.0,17.0,3.0,23.0,2.0,4.0,3.0,17.0,37.0,20.0,0.0,24.0,0.0,8.0,0.0,16.0,22.0,22.0,43.0,22.0,58.0,15.0,0.0,38.0,18.0,0.0,0.0,161.0,30.0,65.0,17.0,34.0,16.0,52.0,2.0,18.0,45.0,136.0,76.0,17.0,16.0,57.0,102.0,0.0,0.0,3.0,21.0,0.0,34.0,8.0,0.0,72.0,12.0,118.0,14.0,83.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
45,24.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,53.0,2.0,25.0,20.0,27.0,25.0,27.0,20.0,38.0,36.0,13.0,0.0,49.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,17.0,42.0,11.0,13.0,7.0,5.0,4.0,0.0,13.0,10.0,10.0,15.0,8.0,13.0,42.0,7.0,0.0,53.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.0,1.0,10.0,0.0,18.0,12.0,0.0,16.0,24.0,19.0,12.0,11.0,4.0,10.0,33.0,2.0,1.0,26.0,37.0,0.0,10.0,9.0,67.0,26.0,13.0,13.0,23.0,20.0,16.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,24.0,5.0,16.0,43.0,0.0,4.0,51.0,67.0,24.0,10.0,74.0,2.0,45.0,51.0,0.0,17.0,5.0,19.0,21.0,28.0,26.0,9.0,25.0,20.0,0.0,20.0,0.0,0.0,38.0,57.0,37.0,5.0,378.0,406.0,0.0,272.0,18.0,20.0,148.0,145.0,21.0,0.0,28.0,29.0,114.0,0.0,23.0,0.0,3.0,0.0,1.0,7.0,0.0,8.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,21.0,7.0,10.0,44.0,22.0,18.0,42.0,2.0,18.0,22.0,7.0,18.0,17.0,35.0,39.0,12.0,45.0,25.0,5.0,18.0,0.0,76.0,20.0,0.0,35.0,82.0,0.0,72.0,67.0,7.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,22.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,62.0,11.0,12.0,50.0,14.0,3.0,40.0,0.0,24.0,50.0,31.0,0.0,110.0,0.0,0.0,16.0,26.0,0.0,11.0,44.0,19.0,36.0,7.0,0.0,88.0,2.0,35.0,20.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,45.0,0.0,5.0,15.0,23.0,18.0,33.0,6.0,24.0,9.0,48.0,19.0,27.0,38.0,32.0,4.0,0.0,0.0,5.0,27.0,0.0,9.0,50.0,0.0,16.0,0.0,6.0,14.0,17.0,1.0,7.0,5.0,3.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,17.0,14.0,12.0,5.0,26.0,16.0,38.0,10.0,3.0,30.0,18.0,29.0,18.0,29.0,13.0,11.0,0.0,0.0,0.0,16.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,8.0,6.0,13.0,15.0,17.0,3.0,18.0,6.0,10.0,7.0,3.0,11.0,0.0,92.0,50.0,14.0,31.0,17.0,88.0,43.0,0.0,181.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,18.0,4.0,10.0,38.0,18.0,0.0,17.0,4.0,5.0,84.0,50.0,16.0,0.0,13.0,16.0,0.0,58.0,15.0,111.0,0.0,185.0,0.0,0.0,0.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,13.0,15.0,30.0,36.0,12.0,19.0,21.0,50.0,32.0,29.0,43.0,35.0,3.0,8.0,18.0,15.0,0.0,17.0,0.0,19.0,20.0,0.0,16.0,3.0,12.0,18.0,0.0,5.0,22.0,16.0,5.0,11.0,5.0,6.0,0.0,18.0,0.0,0.0,140.0,3.0,2.0,6.0,3.0,6.0,1.0,10.0,0.0,0.0,3.0,0.0,6.0,7.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
