,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
27,5.0,32.0,8.0,35.0,7.0,16.0,4.0,0.0,8.0,9.0,7.0,10.0,1.0,18.0,23.0,10.0,32.0,0.0,7.0,5.0,5.0,18.0,0.0,0.0,29.0,5.0,8.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,6.0,12.0,13.0,0.0,0.0,0.0,25.0,0.0,36.0,26.0,27.0,53.0,25.0,17.0,73.0,2.0,10.0,0.0,0.0,3.0,58.0,0.0,0.0,1.0,2.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,0.0,22.0,20.0,22.0,0.0,4.0,0.0,25.0,17.0,30.0,0.0,9.0,13.0,0.0,29.0,10.0,0.0,0.0,4.0,0.0,0.0,1.0,22.0,0.0,12.0,2.0,17.0,16.0,0.0,0.0,0.0,15.0,0.0,29.0,49.0,15.0,2.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,14.0,13.0,31.0,8.0,10.0,22.0,40.0,11.0,2.0,20.0,0.0,0.0,7.0,12.0,0.0,8.0,0.0,6.0,1.0,0.0,7.0,0.0,0.0,19.0,11.0,0.0,0.0,3.0,15.0,8.0,5.0,9.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3.0,0.0,17.0,21.0,3.0,0.0,29.0,16.0,12.0,54.0,11.0,18.0,8.0,39.0,27.0,20.0,0.0,12.0,3.0,2.0,45.0,5.0,3.0,0.0,0.0,24.0,0.0,7.0,0.0,0.0,0.0,0.0,46.0,44.0,46.0,9.0,0.0,52.0,38.0,0.0,51.0,4.0,0.0,1.0,14.0,0.0,22.0,0.0,114.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,26.0,10.0,0.0,5.0,11.0,8.0,0.0,13.0,2.0,22.0,35.0,13.0,7.0,9.0,0.0,0.0,23.0,29.0,60.0,33.0,31.0,20.0,63.0,11.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,6.0,28.0,0.0,129.0,33.0,4.0,8.0,0.0,6.0,3.0,41.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,10.0,7.0,7.0,15.0,24.0,12.0,8.0,0.0,11.0,41.0,37.0,31.0,0.0,9.0,23.0,0.0,0.0,4.0,16.0,2.0,11.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,22.0,34.0,0.0,1.0,4.0,22.0,0.0,28.0,1.0,9.0,99.0,48.0,19.0,13.0,0.0,90.0,0.0,50.0,0.0,124.0,0.0,19.0,3.0,53.0,47.0,0.0,0.0,12.0,34.0,38.0,56.0,54.0,101.0,262.0,33.0,177.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,15.0,16.0,0.0,4.0,52.0,0.0,18.0,54.0,22.0,10.0,10.0,1.0,18.0,5.0,43.0,39.0,0.0,43.0,0.0,65.0,0.0,19.0,15.0,13.0,6.0,0.0,10.0,9.0,31.0,34.0,18.0,0.0,113.0,25.0,0.0,0.0,0.0,424.0,0.0,42.0,55.0,172.0,18.0,24.0,10.0,0.0,0.0,2.0,75.0,0.0,0.0,0.0,0.0,8.0,0.0,23.0,4.0,117.0,0.0,41.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,21.0,12.0,24.0,8.0,16.0,3.0,0.0,14.0,0.0,25.0,49.0,23.0,15.0,0.0,73.0,4.0,14.0,1.0,3.0,22.0,9.0,3.0,15.0,45.0,22.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8.0,22.0,4.0,19.0,2.0,15.0,0.0,12.0,1.0,6.0,0.0,31.0,9.0,8.0,32.0,17.0,111.0,49.0,21.0,1.0,3.0,38.0,3.0,19.0,12.0,25.0,18.0,2.0,5.0,13.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,20.0,0.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9.0,7.0,25.0,0.0,27.0,2.0,28.0,13.0,35.0,23.0,22.0,83.0,6.0,16.0,18.0,37.0,0.0,14.0,20.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,9.0,13.0,0.0,0.0,0.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,6.0,0.0,11.0,0.0,0.0,5.0,13.0,10.0,41.0,0.0,0.0,0.0,14.0,8.0,11.0,8.0,21.0,40.0,0.0,0.0,0.0,24.0,3.0,17.0,0.0,58.0,84.0,0.0,18.0,0.0,38.0,95.0,105.0,7.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10.0,30.0,29.0,13.0,41.0,16.0,0.0,18.0,7.0,14.0,36.0,31.0,94.0,13.0,0.0,7.0,0.0,11.0,25.0,13.0,5.0,4.0,23.0,0.0,56.0,11.0,100.0,13.0,46.0,31.0,24.0,45.0,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4.0,0.0,8.0,19.0,45.0,1.0,4.0,19.0,10.0,26.0,44.0,35.0,0.0,0.0,40.0,0.0,37.0,25.0,35.0,0.0,0.0,49.0,50.0,31.0,15.0,23.0,33.0,24.0,0.0,30.0,40.0,8.0,15.0,10.0,15.0,0.0,0.0,8.0,0.0,28.0,21.0,15.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,959.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,29.0,3.0,3.0,18.0,8.0,0.0,3.0,17.0,3.0,16.0,5.0,0.0,32.0,1.0,16.0,19.0,31.0,37.0,18.0,22.0,2.0,0.0,61.0,3.0,9.0,0.0,27.0,19.0,2.0,70.0,0.0,0.0,0.0,0.0,21.0,0.0,62.0,0.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.0,21.0,14.0,5.0,24.0,17.0,0.0,0.0,0.0,18.0,0.0,14.0,0.0,15.0,29.0,17.0,52.0,0.0,15.0,19.0,22.0,28.0,24.0,15.0,18.0,29.0,18.0,0.0,12.0,9.0,17.0,64.0,92.0,13.0,0.0,32.0,5.0,50.0,57.0,0.0,0.0,127.0,16.0,7.0,0.0,30.0,85.0,28.0,0.0,0.0,37.0,0.0,0.0,62.0,55.0,0.0,0.0,50.0,43.0,53.0,58.0,73.0,0.0,0.0,91.0,3.0,59.0,0.0,309.0,56.0,0.0,0.0,0.0,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,6.0,10.0,0.0,20.0,33.0,36.0,23.0,11.0,16.0,12.0,27.0,8.0,8.0,0.0,59.0,28.0,108.0,49.0,0.0,34.0,0.0,0.0,33.0,85.0,98.0,35.0,5.0,0.0,0.0,0.0,66.0,78.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0,0.0,15.0,15.0,14.0,54.0,0.0,8.0,37.0,84.0,0.0,38.0,0.0,11.0,14.0,13.0,0.0,0.0,6.0,108.0,19.0,87.0,0.0,510.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12.0,13.0,20.0,7.0,16.0,14.0,12.0,10.0,0.0,1.0,5.0,4.0,32.0,28.0,18.0,5.0,0.0,0.0,30.0,14.0,0.0,4.0,0.0,0.0,5.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,7.0,16.0,23.0,10.0,14.0,0.0,3.0,8.0,23.0,8.0,10.0,4.0,12.0,31.0,18.0,19.0,105.0,2.0,0.0,23.0,2.0,1.0,26.0,67.0,0.0,0.0,0.0,65.0,33.0,8.0,0.0,86.0,0.0,0.0,0.0,10.0,0.0,0.0,17.0,0.0,67.0,0.0,228.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,20.0,3.0,7.0,20.0,8.0,10.0,23.0,35.0,23.0,0.0,0.0,38.0,0.0,18.0,18.0,1.0,4.0,13.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
