,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
22,5.0,7.0,0.0,0.0,0.0,21.0,7.0,5.0,0.0,16.0,11.0,22.0,0.0,0.0,9.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2.0,29.0,0.0,27.0,45.0,31.0,12.0,0.0,13.0,16.0,20.0,14.0,115.0,0.0,45.0,0.0,3.0,19.0,0.0,1.0,0.0,0.0,0.0,26.0,1.0,44.0,0.0,0.0,0.0,65.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,27.0,15.0,0.0,18.0,8.0,12.0,10.0,41.0,0.0,18.0,25.0,1.0,17.0,95.0,66.0,0.0,0.0,8.0,31.0,5.0,22.0,5.0,0.0,11.0,16.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10.0,13.0,7.0,13.0,10.0,14.0,0.0,14.0,19.0,0.0,36.0,42.0,14.0,51.0,11.0,39.0,33.0,47.0,10.0,20.0,12.0,13.0,0.0,8.0,104.0,0.0,68.0,38.0,0.0,32.0,2.0,59.0,54.0,20.0,18.0,11.0,0.0,0.0,3.0,1.0,2.0,3.0,10.0,0.0,0.0,15.0,12.0,11.0,2.0,6.0,0.0,0.0,0.0,6.0,11.0,19.0,30.0,0.0,30.0,8.0,22.0,0.0,0.0,5.0,0.0,44.0,16.0,0.0,22.0,171.0,6.0,0.0,10.0,2.0,6.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,13.0,22.0,4.0,30.0,12.0,0.0,0.0,2.0,31.0,0.0,22.0,12.0,48.0,17.0,10.0,3.0,11.0,5.0,0.0,0.0,5.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,1.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,20.0,29.0,23.0,22.0,14.0,7.0,5.0,13.0,11.0,17.0,4.0,19.0,0.0,15.0,10.0,14.0,48.0,19.0,12.0,0.0,31.0,0.0,27.0,0.0,0.0,5.0,0.0,13.0,17.0,9.0,0.0,7.0,40.0,0.0,2.0,7.0,0.0,63.0,59.0,0.0,193.0,7.0,84.0,16.0,0.0,48.0,36.0,1.0,78.0,38.0,51.0,0.0,0.0,0.0,15.0,44.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,60.0,6.0,23.0,6.0,20.0,32.0,0.0,19.0,0.0,0.0,9.0,33.0,42.0,51.0,7.0,6.0,12.0,21.0,54.0,0.0,25.0,44.0,0.0,51.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,22.0,13.0,7.0,6.0,6.0,0.0,6.0,28.0,52.0,0.0,9.0,138.0,0.0,35.0,9.0,0.0,0.0,21.0,24.0,0.0,16.0,0.0,0.0,111.0,51.0,0.0,0.0,235.0,0.0,0.0,25.0,209.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30.0,8.0,23.0,0.0,7.0,0.0,6.0,28.0,8.0,15.0,1.0,3.0,14.0,38.0,90.0,17.0,0.0,19.0,11.0,11.0,97.0,40.0,6.0,16.0,54.0,51.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,36.0,28.0,16.0,0.0,0.0,30.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,17.0,21.0,2.0,6.0,5.0,0.0,21.0,16.0,68.0,37.0,7.0,21.0,99.0,7.0,0.0,220.0,0.0,77.0,24.0,8.0,33.0,0.0,92.0,16.0,0.0,28.0,12.0,0.0,13.0,5.0,0.0,13.0,14.0,54.0,0.0,21.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
