,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
29,26.0,0.0,33.0,0.0,3.0,35.0,0.0,0.0,77.0,24.0,16.0,53.0,4.0,109.0,0.0,18.0,11.0,0.0,22.0,0.0,3.0,44.0,19.0,0.0,0.0,294.0,0.0,97.0,0.0,11.0,25.0,48.0,27.0,0.0,95.0,42.0,0.0,25.0,0.0,24.0,23.0,29.0,0.0,65.0,15.0,0.0,65.0,0.0,27.0,0.0,0.0,0.0,18.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,
30,10.0,24.0,25.0,9.0,47.0,7.0,20.0,13.0,53.0,0.0,22.0,7.0,20.0,8.0,25.0,34.0,23.0,36.0,0.0,34.0,0.0,79.0,43.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4.0,1.0,12.0,3.0,13.0,14.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,34.0,41.0,219.0,0.0,1.0,0.0,16.0,15.0,35.0,4.0,4.0,14.0,0.0,0.0,0.0,7.0,18.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,21.0,19.0,46.0,7.0,0.0,17.0,14.0,3.0,8.0,1.0,10.0,5.0,19.0,0.0,4.0,0.0,2.0,9.0,3.0,37.0,32.0,0.0,4.0,0.0,6.0,0.0,0.0,3.0,16.0,10.0,0.0,0.0,13.0,0.0,2.0,5.0,5.0,9.0,8.0,5.0,0.0,7.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
33,9.0,29.0,13.0,9.0,16.0,6.0,55.0,23.0,25.0,23.0,65.0,22.0,55.0,14.0,30.0,4.0,26.0,0.0,61.0,69.0,40.0,20.0,79.0,16.0,5.0,8.0,32.0,10.0,38.0,136.0,1.0,268.0,0.0,59.0,50.0,54.0,0.0,12.0,0.0,50.0,36.0,93.0,4.0,40.0,94.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4.0,15.0,23.0,28.0,13.0,70.0,41.0,1.0,0.0,32.0,14.0,21.0,9.0,117.0,9.0,7.0,8.0,16.0,0.0,42.0,0.0,24.0,0.0,19.0,0.0,0.0,17.0,7.0,20.0,29.0,4.0,7.0,3.0,1.0,7.0,2.0,7.0,7.0,0.0,2.0,5.0,0.0,8.0,7.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,0.0,1.0,54.0,0.0,26.0,0.0,0.0,46.0,14.0,61.0,45.0,0.0,0.0,51.0,17.0,30.0,4.0,0.0,43.0,9.0,36.0,22.0,16.0,2.0,0.0,24.0,64.0,0.0,261.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4.0,7.0,10.0,31.0,0.0,18.0,4.0,5.0,9.0,13.0,8.0,66.0,7.0,27.0,0.0,12.0,5.0,1.0,4.0,2.0,28.0,31.0,14.0,0.0,14.0,0.0,8.0,85.0,0.0,10.0,0.0,105.0,34.0,94.0,54.0,48.0,39.0,341.0,0.0,130.0,42.0,5.0,0.0,186.0,1.0,11.0,6.0,0.0,0.0,0.0,533.0,432.0,63.0,20.0,9.0,54.0,22.0,64.0,45.0,105.0,0.0,59.0,26.0,17.0,14.0,33.0,35.0,103.0,0.0,93.0,16.0,73.0,0.0,434.0,45.0
37,8.0,18.0,22.0,15.0,10.0,33.0,21.0,16.0,41.0,29.0,0.0,10.0,9.0,18.0,16.0,9.0,7.0,0.0,32.0,0.0,17.0,182.0,11.0,325.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,17.0,13.0,28.0,51.0,13.0,1.0,0.0,0.0,0.0,12.0,46.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,7.0,12.0,10.0,10.0,18.0,0.0,25.0,0.0,3.0,21.0,39.0,31.0,51.0,24.0,5.0,10.0,0.0,0.0,1.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
