,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
24,26.0,3.0,39.0,43.0,32.0,40.0,6.0,64.0,17.0,85.0,17.0,24.0,15.0,33.0,30.0,119.0,93.0,13.0,25.0,0.0,24.0,99.0,61.0,0.0,56.0,37.0,0.0,30.0,0.0,6.0,29.0,12.0,10.0,24.0,13.0,17.0,22.0,3.0,41.0,97.0,79.0,0.0,0.0,3.0,94.0,99.0,0.0,75.0,3.0,42.0,7.0,9.0,52.0,51.0,19.0,15.0,7.0,39.0,37.0,16.0,0.0,34.0,18.0,0.0,57.0,0.0,0.0,23.0,65.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,41.0,0.0,3.0,3.0,8.0,0.0,7.0,7.0,6.0,17.0,20.0,14.0,12.0,25.0,46.0,0.0,33.0,0.0,23.0,0.0,25.0,149.0,61.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,34.0,9.0,16.0,4.0,0.0,13.0,24.0,29.0,0.0,40.0,18.0,18.0,36.0,23.0,11.0,28.0,26.0,0.0,16.0,10.0,57.0,0.0,20.0,0.0,12.0,23.0,34.0,11.0,0.0,12.0,0.0,0.0,0.0,10.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,12.0,9.0,18.0,14.0,35.0,0.0,104.0,11.0,43.0,0.0,0.0,12.0,21.0,36.0,1.0,29.0,56.0,223.0,39.0,58.0,36.0,222.0,27.0,125.0,20.0,5.0,20.0,29.0,34.0,400.0,0.0,0.0,0.0,26.0,0.0,2.0,0.0,7.0,16.0,0.0,19.0,0.0,20.0,0.0,26.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,39.0,15.0,9.0,53.0,25.0,7.0,19.0,5.0,17.0,20.0,21.0,38.0,12.0,31.0,17.0,31.0,24.0,8.0,144.0,21.0,46.0,19.0,74.0,429.0,118.0,0.0,0.0,235.0,106.0,335.0,62.0,46.0,58.0,61.0,0.0,135.0,163.0,123.0,0.0,8.0,0.0,0.0,9.0,14.0,12.0,28.0,0.0,144.0,8.0,0.0,3.0,2.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,22.0,50.0,0.0,3.0,64.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,13.0,53.0,30.0,9.0,15.0,30.0,0.0,0.0,23.0,10.0,44.0,3.0,0.0,23.0,56.0,0.0,36.0,0.0,19.0,22.0,0.0,0.0,15.0,20.0,15.0,9.0,13.0,31.0,46.0,0.0,29.0,79.0,4.0,19.0,3.0,0.0,0.0,0.0,0.0,89.0,2.0,3.0,58.0,31.0,28.0,0.0,111.0,134.0,20.0,56.0,17.0,0.0,0.0,229.0,0.0,0.0,35.0,0.0,0.0,0.0,883.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,33.0,0.0,17.0,6.0,6.0,17.0,8.0,18.0,4.0,68.0,26.0,17.0,59.0,16.0,50.0,5.0,63.0,23.0,2.0,35.0,26.0,2.0,11.0,21.0,0.0,1.0,27.0,0.0,10.0,0.0,4.0,2.0,22.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,41.0,0.0,4.0,33.0,2.0,18.0,9.0,8.0,5.0,0.0,0.0,1.0,21.0,32.0,22.0,3.0,15.0,14.0,29.0,0.0,4.0,5.0,23.0,39.0,13.0,3.0,3.0,0.0,0.0,20.0,0.0,0.0,3.0,0.0,23.0,11.0,58.0,1.0,25.0,22.0,0.0,7.0,0.0,15.0,24.0,11.0,37.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,69.0,0.0,0.0,0.0,3.0,1.0,21.0,15.0,50.0,20.0,55.0,37.0,14.0,26.0,40.0,0.0,6.0,45.0,3.0,50.0,72.0,22.0,100.0,80.0,113.0,60.0,123.0,157.0,83.0,0.0,9.0,154.0,117.0,31.0,20.0,235.0,61.0,0.0,59.0,83.0,79.0,16.0,47.0,745.0,0.0,12.0,31.0,0.0,0.0,0.0,167.0,255.0,378.0,0.0,0.0,4.0,2.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,10.0,22.0,9.0,65.0,10.0,22.0,22.0,6.0,62.0,0.0,10.0,35.0,72.0,3.0,32.0,9.0,90.0,32.0,32.0,52.0,109.0,15.0,38.0,86.0,81.0,16.0,48.0,112.0,161.0,123.0,92.0,60.0,0.0,357.0,26.0,0.0,7.0,48.0,325.0,5.0,37.0,0.0,19.0,11.0,2.0,27.0,0.0,436.0,0.0,0.0,5.0,962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
