,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
24,25.0,22.0,0.0,0.0,12.0,0.0,85.0,27.0,33.0,58.0,15.0,0.0,0.0,19.0,0.0,96.0,3.0,22.0,8.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,31.0,19.0,74.0,14.0,47.0,6.0,5.0,15.0,15.0,11.0,54.0,20.0,0.0,187.0,18.0,9.0,5.0,9.0,69.0,46.0,55.0,36.0,118.0,0.0,0.0,20.0,55.0,39.0,5.0,60.0,37.0,21.0,25.0,36.0,73.0,17.0,44.0,46.0,38.0,10.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,176.0,698.0,6.0,2.0,10.0,0.0,0.0,,,,,,,,,,,,,,,
25,2.0,0.0,14.0,0.0,35.0,0.0,0.0,0.0,23.0,0.0,0.0,5.0,4.0,28.0,49.0,27.0,0.0,7.0,0.0,11.0,0.0,33.0,254.0,20.0,0.0,10.0,51.0,0.0,26.0,13.0,23.0,16.0,178.0,0.0,0.0,15.0,13.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,31.0,24.0,0.0,46.0,7.0,62.0,0.0,0.0,8.0,140.0,2.0,33.0,4.0,16.0,0.0,26.0,0.0,129.0,38.0,14.0,89.0,96.0,16.0,54.0,130.0,72.0,0.0,68.0,0.0,425.0,0.0,35.0,173.0,118.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,15.0,10.0,17.0,9.0,2.0,27.0,18.0,3.0,7.0,4.0,22.0,0.0,15.0,15.0,9.0,2.0,1.0,86.0,0.0,4.0,96.0,58.0,56.0,109.0,0.0,26.0,27.0,0.0,0.0,39.0,35.0,11.0,36.0,0.0,30.0,27.0,0.0,124.0,64.0,0.0,13.0,162.0,29.0,217.0,0.0,0.0,17.0,26.0,9.0,0.0,0.0,0.0,63.0,38.0,0.0,96.0,18.0,28.0,0.0,0.0,0.0,0.0,15.0,19.0,152.0,18.0,0.0,43.0,11.0,11.0,13.0,0.0,13.0,0.0,0.0,209.0,29.0,0.0,10.0,0.0,253.0,150.0,66.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,51.0,745.0,,,,
28,31.0,0.0,50.0,15.0,6.0,31.0,9.0,35.0,3.0,25.0,25.0,11.0,27.0,40.0,42.0,58.0,2.0,12.0,19.0,25.0,37.0,0.0,8.0,8.0,31.0,26.0,0.0,1.0,56.0,46.0,51.0,2.0,49.0,181.0,0.0,155.0,32.0,0.0,29.0,25.0,19.0,69.0,82.0,30.0,0.0,9.0,107.0,30.0,0.0,12.0,1.0,33.0,0.0,315.0,7.0,9.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,69.0,0.0,0.0,0.0,38.0,0.0,8.0,25.0,25.0,39.0,39.0,134.0,124.0,18.0,42.0,28.0,74.0,56.0,16.0,31.0,12.0,135.0,169.0,456.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,20.0,22.0,21.0,0.0,9.0,0.0,24.0,48.0,46.0,90.0,12.0,56.0,0.0,0.0,0.0,234.0,0.0,75.0,82.0,220.0,0.0,0.0,43.0,27.0,44.0,0.0,0.0,76.0,13.0,132.0,54.0,136.0,0.0,15.0,0.0,82.0,0.0,31.0,1.0,0.0,18.0,36.0,73.0,25.0,41.0,99.0,122.0,221.0,31.0,24.0,125.0,54.0,0.0,26.0,36.0,0.0,339.0,167.0,4.0,2.0,8.0,13.0,25.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,4.0,35.0,,,,,,,,,,,,,
31,19.0,21.0,14.0,2.0,21.0,7.0,13.0,0.0,35.0,0.0,33.0,43.0,4.0,115.0,114.0,25.0,9.0,119.0,0.0,0.0,51.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33.0,22.0,3.0,16.0,24.0,0.0,10.0,10.0,6.0,58.0,17.0,12.0,7.0,35.0,2.0,51.0,5.0,26.0,31.0,0.0,39.0,0.0,0.0,64.0,42.0,58.0,30.0,0.0,22.0,10.0,0.0,89.0,325.0,303.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3.0,9.0,14.0,22.0,21.0,0.0,0.0,27.0,5.0,5.0,29.0,7.0,9.0,2.0,0.0,102.0,0.0,50.0,39.0,12.0,50.0,0.0,24.0,27.0,92.0,0.0,182.0,139.0,22.0,0.0,0.0,126.0,2.0,0.0,69.0,0.0,0.0,23.0,0.0,89.0,18.0,28.0,35.0,0.0,87.0,0.0,10.0,205.0,63.0,0.0,199.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
