,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
25,9.0,9.0,0.0,36.0,0.0,13.0,6.0,12.0,2.0,15.0,14.0,20.0,9.0,28.0,12.0,17.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,14.0,11.0,0.0,21.0,29.0,8.0,0.0,19.0,24.0,4.0,29.0,20.0,0.0,50.0,14.0,17.0,0.0,24.0,0.0,0.0,108.0,112.0,60.0,106.0,0.0,39.0,16.0,0.0,5.0,7.0,0.0,19.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,88.0,16.0,30.0,6.0,8.0,0.0,0.0,35.0,13.0,21.0,58.0,0.0,43.0,1.0,9.0,11.0,14.0,6.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,40.0,4.0,83.0,30.0,12.0,0.0,68.0,15.0,0.0,5.0,26.0,0.0,7.0,224.0,213.0,0.0,112.0,0.0,0.0,45.0,168.0,0.0,22.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5.0,4.0,16.0,61.0,35.0,42.0,24.0,6.0,88.0,31.0,88.0,12.0,0.0,0.0,69.0,0.0,0.0,32.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,64.0,52.0,22.0,0.0,49.0,8.0,1.0,26.0,2.0,18.0,67.0,8.0,91.0,132.0,8.0,26.0,156.0,123.0,7.0,4.0,6.0,35.0,52.0,0.0,55.0,12.0,20.0,55.0,136.0,7.0,49.0,0.0,0.0,0.0,23.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,50.0,0.0,17.0,0.0,0.0,4.0,7.0,23.0,19.0,23.0,8.0,23.0,38.0,53.0,6.0,4.0,5.0,20.0,25.0,21.0,5.0,15.0,27.0,50.0,0.0,25.0,7.0,62.0,0.0,0.0,0.0,11.0,30.0,0.0,10.0,19.0,7.0,8.0,72.0,87.0,166.0,46.0,0.0,15.0,18.0,263.0,0.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,15.0,19.0,10.0,3.0,26.0,20.0,14.0,23.0,5.0,39.0,5.0,32.0,50.0,116.0,78.0,28.0,18.0,15.0,8.0,47.0,24.0,0.0,206.0,32.0,2.0,8.0,77.0,8.0,4.0,63.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,23.0,15.0,14.0,15.0,8.0,11.0,11.0,2.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20.0,0.0,11.0,0.0,15.0,4.0,37.0,12.0,7.0,31.0,0.0,12.0,25.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,6.0,25.0,20.0,0.0,7.0,1.0,22.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0,25.0,9.0,7.0,58.0,9.0,22.0,9.0,0.0,21.0,17.0,0.0,2.0,64.0,4.0,7.0,75.0,0.0,8.0,30.0,0.0,0.0,19.0,0.0,17.0,0.0,55.0,51.0,0.0,40.0,20.0,31.0,0.0,0.0,30.0,98.0,31.0,1.0,0.0,20.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,10.0,11.0,6.0,0.0,11.0,0.0,31.0,49.0,0.0,33.0,30.0,35.0,12.0,4.0,21.0,8.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,9.0,0.0,11.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,38.0,11.0,7.0,41.0,29.0,3.0,0.0,32.0,38.0,39.0,3.0,6.0,44.0,27.0,21.0,86.0,0.0,23.0,31.0,18.0,142.0,6.0,36.0,0.0,0.0,31.0,24.0,39.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10.0,15.0,14.0,28.0,10.0,51.0,0.0,10.0,0.0,24.0,33.0,98.0,7.0,58.0,79.0,26.0,99.0,43.0,32.0,0.0,18.0,2.0,41.0,0.0,56.0,2.0,2.0,0.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
