,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
22,21.0,22.0,22.0,11.0,9.0,0.0,10.0,29.0,19.0,20.0,10.0,8.0,60.0,29.0,0.0,12.0,64.0,6.0,3.0,45.0,26.0,21.0,0.0,47.0,76.0,32.0,0.0,13.0,39.0,12.0,12.0,42.0,17.0,56.0,36.0,9.0,0.0,1.0,15.0,5.0,0.0,28.0,0.0,36.0,3.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21.0,1.0,25.0,10.0,2.0,21.0,30.0,20.0,16.0,0.0,47.0,16.0,37.0,0.0,64.0,0.0,29.0,69.0,68.0,34.0,30.0,12.0,34.0,317.0,126.0,15.0,23.0,131.0,12.0,18.0,15.0,10.0,40.0,0.0,12.0,15.0,12.0,39.0,0.0,62.0,33.0,212.0,73.0,69.0,43.0,74.0,110.0,55.0,24.0,1.0,0.0,351.0,10.0,10.0,0.0,76.0,0.0,0.0,32.0,6.0,0.0,96.0,0.0,19.0,0.0,0.0,247.0,0.0,0.0,299.0,11.0,0.0,76.0,0.0,0.0,224.0,0.0,56.0,141.0,5.0,0.0,0.0,199.0,,,,,,,,,,,,
24,17.0,26.0,4.0,22.0,5.0,24.0,24.0,11.0,27.0,0.0,5.0,86.0,67.0,4.0,43.0,11.0,31.0,19.0,7.0,12.0,39.0,12.0,0.0,16.0,114.0,28.0,0.0,0.0,84.0,15.0,5.0,57.0,20.0,15.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,5.0,8.0,12.0,18.0,0.0,0.0,0.0,5.0,16.0,135.0,25.0,0.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,32.0,14.0,0.0,9.0,21.0,32.0,0.0,6.0,0.0,26.0,0.0,0.0,51.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,11.0,13.0,3.0,12.0,23.0,30.0,0.0,0.0,19.0,4.0,15.0,3.0,8.0,28.0,18.0,44.0,7.0,15.0,0.0,0.0,24.0,79.0,47.0,0.0,0.0,171.0,29.0,11.0,23.0,0.0,36.0,47.0,0.0,9.0,6.0,13.0,36.0,18.0,0.0,12.0,23.0,196.0,13.0,22.0,74.0,79.0,113.0,0.0,0.0,22.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,34.0,4.0,6.0,0.0,0.0,5.0,12.0,4.0,5.0,35.0,0.0,7.0,26.0,0.0,8.0,15.0,20.0,0.0,15.0,25.0,78.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5.0,0.0,25.0,8.0,28.0,0.0,36.0,30.0,0.0,15.0,18.0,83.0,51.0,22.0,21.0,10.0,7.0,115.0,3.0,7.0,0.0,41.0,121.0,74.0,0.0,19.0,3.0,24.0,587.0,73.0,0.0,0.0,0.0,36.0,31.0,0.0,0.0,1.0,7.0,66.0,16.0,0.0,15.0,0.0,0.0,53.0,0.0,20.0,116.0,192.0,688.0,0.0,0.0,9.0,0.0,0.0,33.0,0.0,19.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,21.0,0.0,16.0,0.0,14.0,17.0,20.0,0.0,5.0,38.0,17.0,54.0,18.0,77.0,7.0,0.0,16.0,20.0,33.0,81.0,0.0,66.0,16.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,16.0,1.0,36.0,21.0,9.0,31.0,11.0,16.0,65.0,33.0,7.0,34.0,7.0,0.0,0.0,1.0,0.0,38.0,10.0,8.0,20.0,79.0,0.0,40.0,0.0,32.0,0.0,14.0,13.0,22.0,13.0,0.0,24.0,7.0,32.0,36.0,2.0,0.0,44.0,13.0,17.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,10.0,31.0,7.0,17.0,3.0,3.0,8.0,0.0,20.0,13.0,16.0,50.0,17.0,229.0,31.0,0.0,14.0,9.0,69.0,0.0,0.0,6.0,108.0,46.0,0.0,87.0,10.0,9.0,0.0,360.0,0.0,20.0,0.0,167.0,45.0,0.0,0.0,18.0,0.0,497.0,0.0,329.0,0.0,300.0,121.0,42.0,35.0,61.0,14.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
