,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
38,8.0,25.0,5.0,34.0,14.0,0.0,43.0,32.0,0.0,52.0,0.0,0.0,9.0,17.0,14.0,4.0,0.0,2.0,6.0,1.0,46.0,0.0,22.0,16.0,0.0,11.0,12.0,6.0,15.0,0.0,0.0,5.0,0.0,0.0,18.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,41.0,16.0,19.0,11.0,9.0,15.0,39.0,50.0,13.0,40.0,42.0,31.0,0.0,0.0,0.0,41.0,20.0,115.0,59.0,91.0,0.0,20.0,15.0,0.0,7.0,259.0,197.0,287.0,0.0,0.0,89.0,5.0,147.0,23.0,36.0,20.0,4.0,0.0,8.0,7.0,0.0,12.0,71.0,8.0,0.0,0.0,30.0,17.0,35.0,1.0,23.0,6.0,52.0,0.0,0.0,296.0,66.0,20.0,56.0,11.0,0.0,204.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,20.0,5.0,5.0,2.0,9.0,8.0,35.0,19.0,0.0,8.0,8.0,13.0,28.0,49.0,48.0,30.0,0.0,24.0,104.0,28.0,18.0,0.0,5.0,28.0,26.0,11.0,4.0,0.0,0.0,90.0,8.0,0.0,26.0,59.0,19.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,8.0,20.0,11.0,20.0,42.0,0.0,20.0,0.0,3.0,9.0,30.0,0.0,0.0,10.0,15.0,24.0,0.0,0.0,34.0,6.0,0.0,0.0,16.0,7.0,13.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,25.0,6.0,8.0,9.0,14.0,5.0,6.0,15.0,15.0,10.0,40.0,15.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,5.0,0.0,10.0,31.0,8.0,30.0,13.0,21.0,18.0,8.0,29.0,24.0,23.0,31.0,0.0,1.0,26.0,47.0,15.0,2.0,1.0,25.0,0.0,70.0,39.0,0.0,10.0,0.0,0.0,0.0,0.0,28.0,57.0,12.0,22.0,0.0,0.0,0.0,14.0,0.0,7.0,29.0,0.0,20.0,62.0,2.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7.0,21.0,71.0,8.0,0.0,18.0,65.0,78.0,38.0,14.0,0.0,58.0,35.0,14.0,35.0,9.0,39.0,34.0,40.0,9.0,0.0,35.0,0.0,27.0,18.0,0.0,47.0,61.0,34.0,4.0,4.0,201.0,199.0,0.0,124.0,74.0,31.0,5.0,375.0,3.0,119.0,28.0,197.0,7.0,0.0,0.0,0.0,27.0,2.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8.0,19.0,1.0,22.0,0.0,1.0,14.0,27.0,13.0,100.0,16.0,35.0,25.0,38.0,82.0,23.0,0.0,0.0,75.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,6.0,4.0,4.0,5.0,15.0,8.0,29.0,0.0,5.0,26.0,13.0,22.0,16.0,45.0,0.0,15.0,39.0,35.0,8.0,16.0,16.0,0.0,16.0,0.0,1.0,0.0,18.0,16.0,12.0,13.0,21.0,17.0,10.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,6.0,12.0,21.0,7.0,1.0,24.0,23.0,16.0,54.0,7.0,292.0,473.0,312.0,0.0,120.0,94.0,84.0,0.0,12.0,11.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
