,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
23,9.0,11.0,50.0,0.0,7.0,14.0,12.0,25.0,39.0,30.0,18.0,57.0,16.0,4.0,0.0,7.0,31.0,18.0,54.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,31.0,5.0,27.0,28.0,0.0,2.0,15.0,16.0,23.0,19.0,11.0,20.0,8.0,13.0,3.0,20.0,0.0,3.0,11.0,24.0,14.0,26.0,63.0,0.0,70.0,8.0,0.0,64.0,13.0,63.0,22.0,12.0,82.0,59.0,0.0,56.0,7.0,36.0,0.0,244.0,15.0,69.0,50.0,274.0,0.0,4.0,0.0,0.0,107.0,0.0,10.0,161.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,77.0,0.0,54.0,1.0,0.0,1.0,69.0,64.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,14.0,15.0,28.0,23.0,11.0,3.0,24.0,11.0,5.0,0.0,13.0,9.0,26.0,5.0,75.0,22.0,5.0,32.0,1.0,20.0,6.0,9.0,16.0,135.0,97.0,5.0,0.0,50.0,12.0,0.0,28.0,0.0,20.0,15.0,12.0,1.0,21.0,13.0,6.0,0.0,32.0,17.0,50.0,33.0,263.0,214.0,81.0,177.0,335.0,265.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,11.0,23.0,29.0,6.0,13.0,0.0,0.0,11.0,33.0,0.0,0.0,12.0,0.0,11.0,13.0,9.0,18.0,13.0,0.0,32.0,18.0,15.0,80.0,36.0,62.0,2.0,15.0,17.0,362.0,0.0,51.0,85.0,0.0,67.0,125.0,0.0,74.0,0.0,51.0,0.0,17.0,27.0,134.0,0.0,52.0,18.0,2.0,92.0,55.0,167.0,44.0,12.0,206.0,95.0,0.0,49.0,20.0,441.0,28.0,0.0,0.0,0.0,0.0,44.0,0.0,1.0,18.0,112.0,0.0,0.0,0.0,634.0,8.0,9.0,28.0,5.0,56.0,0.0,0.0,0.0,0.0,19.0,63.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,10.0,0.0,0.0,1.0,8.0,22.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,7.0,35.0,0.0,13.0,0.0,37.0,0.0,27.0,3.0,31.0,9.0,7.0,17.0,8.0,26.0,11.0,35.0,0.0,8.0,5.0,21.0,32.0,49.0,59.0,27.0,29.0,2.0,17.0,68.0,80.0,22.0,153.0,90.0,0.0,21.0,19.0,14.0,0.0,49.0,142.0,0.0,0.0,134.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,18.0,4.0,40.0,11.0,1.0,21.0,11.0,0.0,12.0,0.0,19.0,47.0,38.0,27.0,10.0,0.0,49.0,81.0,136.0,16.0,78.0,75.0,130.0,7.0,0.0,0.0,0.0,112.0,2.0,35.0,0.0,23.0,2.0,7.0,25.0,35.0,14.0,37.0,0.0,2.0,91.0,65.0,0.0,92.0,0.0,83.0,58.0,176.0,37.0,112.0,74.0,0.0,130.0,0.0,94.0,0.0,216.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,8.0,15.0,1.0,0.0,18.0,17.0,9.0,0.0,0.0,0.0,21.0,10.0,54.0,32.0,9.0,1.0,4.0,13.0,8.0,2.0,63.0,18.0,33.0,31.0,31.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,14.0,0.0,0.0,4.0,10.0,16.0,35.0,26.0,23.0,0.0,0.0,18.0,11.0,43.0,29.0,19.0,119.0,92.0,104.0,97.0,26.0,13.0,0.0,38.0,29.0,46.0,37.0,20.0,19.0,232.0,17.0,31.0,0.0,22.0,60.0,0.0,21.0,11.0,23.0,104.0,196.0,109.0,606.0,0.0,0.0,4.0,0.0,29.0,0.0,22.0,4.0,6.0,1.0,0.0,11.0,0.0,2.0,0.0,7.0,0.0,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,29.0,25.0,6.0,21.0,3.0,37.0,1.0,7.0,7.0,0.0,34.0,0.0,13.0,24.0,7.0,4.0,0.0,8.0,6.0,3.0,14.0,0.0,30.0,26.0,0.0,49.0,23.0,39.0,3.0,16.0,0.0,0.0,0.0,61.0,0.0,31.0,42.0,2.0,0.0,225.0,19.0,0.0,0.0,173.0,74.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,23.0,12.0,2.0,14.0,12.0,12.0,25.0,0.0,8.0,3.0,19.0,12.0,49.0,18.0,45.0,15.0,13.0,11.0,101.0,34.0,0.0,26.0,0.0,32.0,60.0,66.0,13.0,0.0,7.0,11.0,4.0,2.0,21.0,11.0,15.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
