,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
33,0.0,2.0,0.0,8.0,0.0,8.0,15.0,13.0,0.0,21.0,0.0,0.0,56.0,9.0,13.0,0.0,17.0,6.0,8.0,0.0,9.0,6.0,16.0,1.0,7.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,31.0,0.0,17.0,14.0,11.0,3.0,0.0,24.0,19.0,56.0,35.0,13.0,44.0,26.0,0.0,7.0,0.0,31.0,17.0,5.0,55.0,24.0,0.0,0.0,10.0,24.0,0.0,18.0,2.0,0.0,11.0,12.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,0.0,3.0,2.0,14.0,7.0,76.0,30.0,8.0,48.0,61.0,41.0,128.0,0.0,20.0,25.0,106.0,110.0,169.0,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,30.0,28.0,2.0,0.0,0.0,12.0,38.0,22.0,0.0,15.0,23.0,15.0,0.0,13.0,7.0,16.0,9.0,0.0,1.0,17.0,13.0,20.0,11.0,14.0,13.0,0.0,6.0,0.0,7.0,7.0,17.0,0.0,0.0,11.0,1.0,23.0,78.0,154.0,0.0,0.0,1.0,283.0,29.0,0.0,124.0,14.0,84.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,19.0,18.0,17.0,2.0,7.0,0.0,1.0,0.0,46.0,23.0,33.0,15.0,32.0,27.0,0.0,35.0,0.0,27.0,0.0,14.0,17.0,0.0,27.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4.0,41.0,37.0,8.0,10.0,21.0,0.0,0.0,10.0,0.0,28.0,0.0,0.0,0.0,0.0,16.0,37.0,4.0,7.0,0.0,23.0,29.0,20.0,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,36.0,12.0,0.0,3.0,5.0,17.0,8.0,38.0,35.0,25.0,33.0,0.0,22.0,29.0,36.0,134.0,20.0,8.0,45.0,24.0,0.0,61.0,54.0,5.0,25.0,15.0,0.0,8.0,0.0,8.0,13.0,22.0,8.0,3.0,18.0,2.0,0.0,14.0,48.0,1.0,0.0,0.0,9.0,46.0,0.0,0.0,7.0,142.0,40.0,46.0,12.0,0.0,59.0,21.0,21.0,23.0,2.0,47.0,30.0,32.0,73.0,3.0,39.0,24.0,38.0,2.0,319.0,37.0,67.0,74.0,49.0,3.0,105.0,46.0,3.0,8.0,19.0,0.0,0.0,23.0,51.0,10.0,297.0,39.0,0.0,8.0,0.0,0.0,,,,,,,,,,,,,,,
40,36.0,34.0,32.0,2.0,9.0,0.0,39.0,14.0,2.0,22.0,21.0,5.0,22.0,37.0,12.0,13.0,4.0,1.0,24.0,34.0,25.0,44.0,43.0,205.0,13.0,49.0,12.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,13.0,139.0,27.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,23.0,21.0,3.0,13.0,8.0,44.0,7.0,21.0,34.0,0.0,0.0,273.0,0.0,27.0,61.0,29.0,22.0,73.0,75.0,5.0,41.0,68.0,46.0,0.0,0.0,0.0,0.0,21.0,28.0,30.0,0.0,0.0,42.0,0.0,69.0,0.0,0.0,0.0,0.0,97.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11.0,35.0,0.0,35.0,67.0,23.0,0.0,1.0,31.0,12.0,5.0,14.0,13.0,20.0,0.0,0.0,27.0,0.0,0.0,36.0,0.0,30.0,10.0,31.0,10.0,28.0,28.0,5.0,26.0,130.0,23.0,35.0,22.0,3.0,6.0,16.0,0.0,10.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,8.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,720.0,20.0,0.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
