,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
20,20.0,0.0,15.0,9.0,0.0,13.0,0.0,0.0,85.0,25.0,0.0,4.0,0.0,14.0,0.0,16.0,22.0,15.0,5.0,7.0,18.0,18.0,0.0,22.0,0.0,2.0,23.0,12.0,26.0,0.0,7.0,33.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,13.0,20.0,10.0,0.0,38.0,18.0,35.0,18.0,0.0,11.0,0.0,35.0,68.0,6.0,0.0,10.0,26.0,0.0,141.0,0.0,27.0,93.0,54.0,73.0,27.0,32.0,46.0,0.0,55.0,32.0,0.0,0.0,65.0,0.0,46.0,2.0,0.0,24.0,114.0,624.0,0.0,57.0,0.0,59.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21.0,17.0,3.0,11.0,15.0,9.0,19.0,19.0,61.0,7.0,43.0,0.0,86.0,0.0,73.0,38.0,29.0,0.0,15.0,10.0,0.0,76.0,9.0,19.0,81.0,24.0,18.0,85.0,224.0,38.0,80.0,36.0,109.0,0.0,29.0,100.0,0.0,128.0,90.0,19.0,473.0,0.0,46.0,225.0,70.0,15.0,61.0,15.0,101.0,51.0,0.0,16.0,0.0,0.0,11.0,48.0,0.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,14.0,33.0,4.0,7.0,1.0,20.0,1.0,22.0,0.0,36.0,0.0,3.0,14.0,0.0,39.0,113.0,137.0,11.0,0.0,68.0,4.0,21.0,0.0,0.0,0.0,54.0,8.0,19.0,69.0,0.0,0.0,137.0,31.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,12.0,44.0,0.0,25.0,13.0,9.0,0.0,35.0,22.0,6.0,4.0,0.0,29.0,1.0,0.0,40.0,4.0,3.0,0.0,37.0,60.0,19.0,3.0,14.0,16.0,53.0,0.0,7.0,21.0,0.0,22.0,3.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,29.0,5.0,20.0,0.0,22.0,0.0,254.0,31.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,23.0,55.0,0.0,18.0,19.0,41.0,9.0,0.0,7.0,27.0,3.0,26.0,51.0,147.0,18.0,20.0,0.0,27.0,44.0,32.0,50.0,0.0,0.0,0.0,0.0,369.0,61.0,197.0,0.0,29.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,18.0,20.0,12.0,4.0,28.0,10.0,97.0,3.0,31.0,122.0,33.0,1.0,30.0,0.0,65.0,0.0,5.0,14.0,44.0,3.0,0.0,0.0,5.0,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10.0,18.0,9.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,11.0,12.0,22.0,6.0,2.0,3.0,65.0,143.0,59.0,80.0,0.0,0.0,0.0,5.0,23.0,12.0,27.0,0.0,15.0,0.0,0.0,103.0,41.0,41.0,0.0,112.0,0.0,1.0,25.0,37.0,18.0,37.0,0.0,51.0,61.0,45.0,47.0,17.0,0.0,0.0,490.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,15.0,1.0,13.0,0.0,2.0,1.0,0.0,15.0,7.0,19.0,0.0,2.0,31.0,128.0,0.0,50.0,75.0,27.0,5.0,56.0,0.0,48.0,20.0,15.0,82.0,132.0,78.0,39.0,35.0,224.0,216.0,31.0,134.0,0.0,0.0,0.0,0.0,14.0,11.0,44.0,5.0,351.0,0.0,23.0,49.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,23.0,10.0,16.0,0.0,6.0,2.0,5.0,0.0,0.0,11.0,0.0,37.0,3.0,6.0,108.0,16.0,8.0,26.0,14.0,0.0,30.0,0.0,23.0,30.0,11.0,0.0,0.0,12.0,9.0,29.0,29.0,27.0,0.0,10.0,1.0,33.0,52.0,38.0,28.0,37.0,35.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
