,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
23,14.0,10.0,7.0,0.0,0.0,10.0,22.0,49.0,7.0,0.0,63.0,54.0,0.0,19.0,93.0,0.0,30.0,24.0,8.0,2.0,5.0,0.0,36.0,5.0,33.0,45.0,0.0,0.0,0.0,10.0,1.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,11.0,9.0,22.0,14.0,10.0,11.0,16.0,20.0,2.0,16.0,19.0,49.0,38.0,0.0,29.0,9.0,2.0,4.0,51.0,0.0,3.0,0.0,3.0,3.0,4.0,0.0,14.0,7.0,24.0,59.0,18.0,37.0,7.0,41.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5.0,0.0,14.0,0.0,0.0,11.0,7.0,4.0,16.0,3.0,37.0,31.0,12.0,12.0,17.0,1.0,1.0,0.0,11.0,3.0,0.0,7.0,8.0,0.0,2.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4.0,8.0,7.0,1.0,6.0,6.0,0.0,6.0,9.0,24.0,0.0,0.0,110.0,56.0,5.0,0.0,12.0,7.0,0.0,0.0,28.0,14.0,26.0,0.0,0.0,10.0,0.0,2.0,10.0,3.0,3.0,14.0,7.0,13.0,0.0,86.0,5.0,0.0,5.0,17.0,242.0,0.0,126.0,0.0,0.0,15.0,109.0,113.0,0.0,0.0,164.0,0.0,0.0,0.0,32.0,398.0,207.0,0.0,5.0,5.0,0.0,4.0,2.0,385.0,2.0,34.0,20.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
27,5.0,23.0,2.0,19.0,17.0,10.0,13.0,15.0,4.0,15.0,0.0,23.0,61.0,123.0,0.0,1.0,151.0,17.0,41.0,102.0,19.0,9.0,49.0,0.0,0.0,53.0,65.0,0.0,13.0,430.0,35.0,52.0,26.0,8.0,45.0,0.0,11.0,23.0,0.0,14.0,6.0,0.0,0.0,266.0,5.0,0.0,42.0,0.0,0.0,79.0,0.0,327.0,0.0,159.0,0.0,41.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,14.0,6.0,14.0,3.0,16.0,13.0,15.0,61.0,0.0,0.0,22.0,0.0,26.0,15.0,0.0,27.0,67.0,11.0,30.0,46.0,0.0,11.0,151.0,25.0,11.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2.0,8.0,18.0,18.0,16.0,0.0,2.0,0.0,22.0,0.0,37.0,2.0,140.0,16.0,43.0,8.0,0.0,32.0,0.0,15.0,0.0,115.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,0.0,0.0,12.0,21.0,11.0,22.0,25.0,41.0,4.0,18.0,22.0,34.0,14.0,10.0,144.0,0.0,97.0,21.0,67.0,26.0,0.0,4.0,44.0,16.0,212.0,111.0,22.0,5.0,233.0,0.0,41.0,0.0,0.0,492.0,30.0,1.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,2.0,8.0,22.0,32.0,2.0,5.0,0.0,27.0,10.0,3.0,84.0,20.0,44.0,46.0,2.0,0.0,0.0,65.0,26.0,0.0,11.0,15.0,48.0,13.0,5.0,16.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,16.0,1.0,3.0,0.0,14.0,9.0,3.0,24.0,19.0,26.0,41.0,16.0,45.0,28.0,0.0,37.0,40.0,0.0,0.0,19.0,6.0,1.0,50.0,17.0,0.0,118.0,24.0,0.0,25.0,16.0,16.0,72.0,0.0,17.0,12.0,0.0,35.0,91.0,68.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15.0,0.0,17.0,0.0,0.0,23.0,12.0,7.0,69.0,33.0,10.0,19.0,14.0,41.0,33.0,48.0,0.0,17.0,7.0,41.0,117.0,119.0,31.0,9.0,66.0,0.0,0.0,15.0,0.0,64.0,31.0,1.0,14.0,38.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,38.0,0.0,7.0,24.0,26.0,2.0,0.0,8.0,26.0,31.0,0.0,16.0,0.0,38.0,17.0,2.0,0.0,54.0,21.0,0.0,14.0,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,0.0,1.0,10.0,3.0,5.0,6.0,4.0,2.0,4.0,7.0,4.0,6.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,13.0,6.0,5.0,13.0,6.0,0.0,0.0,20.0,0.0,7.0,47.0,21.0,28.0,37.0,84.0,15.0,37.0,66.0,7.0,93.0,54.0,0.0,45.0,86.0,199.0,0.0,80.0,32.0,0.0,0.0,122.0,0.0,36.0,0.0,29.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,18.0,23.0,5.0,5.0,0.0,12.0,3.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,11.0,23.0,0.0,32.0,21.0,0.0,30.0,6.0,20.0,137.0,22.0,0.0,44.0,16.0,15.0,12.0,37.0,3.0,0.0,4.0,103.0,0.0,0.0,12.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,8.0,41.0,4.0,37.0,11.0,10.0,0.0,34.0,7.0,0.0,33.0,0.0,29.0,12.0,5.0,0.0,0.0,43.0,15.0,99.0,35.0,0.0,11.0,1.0,4.0,0.0,91.0,13.0,0.0,117.0,84.0,0.0,5.0,10.0,1.0,2.0,0.0,1.0,0.0,4.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,32.0,27.0,3.0,8.0,3.0,31.0,0.0,7.0,16.0,11.0,27.0,0.0,17.0,10.0,26.0,21.0,103.0,46.0,70.0,16.0,76.0,56.0,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,9.0,1.0,18.0,24.0,0.0,3.0,9.0,9.0,0.0,12.0,69.0,23.0,0.0,7.0,28.0,0.0,72.0,14.0,22.0,32.0,19.0,216.0,5.0,8.0,20.0,69.0,129.0,36.0,34.0,5.0,0.0,1.0,12.0,7.0,18.0,0.0,0.0,16.0,8.0,30.0,0.0,0.0,25.0,0.0,2.0,3.0,36.0,6.0,0.0,0.0,50.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0,35.0,28.0,5.0,11.0,12.0,5.0,4.0,2.0,5.0,10.0,2.0,39.0,0.0,0.0,28.0,31.0,28.0,46.0,18.0,8.0,11.0,5.0,29.0,0.0,35.0,0.0,6.0,41.0,10.0,27.0,58.0,0.0,0.0,9.0,1.0,0.0,9.0,5.0,10.0,10.0,4.0,12.0,33.0,48.0,2.0,24.0,0.0,6.0,4.0,0.0,44.0,0.0,0.0,5.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
