,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
24,16.0,17.0,28.0,0.0,36.0,8.0,0.0,23.0,41.0,46.0,18.0,7.0,32.0,0.0,0.0,14.0,5.0,5.0,50.0,74.0,8.0,20.0,22.0,0.0,26.0,29.0,0.0,77.0,47.0,18.0,118.0,64.0,25.0,0.0,10.0,0.0,0.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,13.0,24.0,0.0,15.0,24.0,3.0,13.0,32.0,3.0,14.0,5.0,17.0,23.0,10.0,19.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0,0.0,24.0,34.0,27.0,2.0,109.0,22.0,74.0,0.0,26.0,102.0,0.0,74.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,21.0,6.0,16.0,21.0,0.0,7.0,33.0,43.0,7.0,0.0,0.0,16.0,32.0,57.0,29.0,9.0,23.0,23.0,67.0,12.0,10.0,4.0,12.0,159.0,0.0,0.0,0.0,0.0,22.0,38.0,5.0,187.0,86.0,9.0,15.0,0.0,11.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10.0,16.0,10.0,22.0,42.0,19.0,24.0,0.0,24.0,56.0,6.0,9.0,8.0,0.0,31.0,1.0,0.0,1.0,0.0,18.0,0.0,10.0,0.0,9.0,19.0,3.0,25.0,3.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8.0,16.0,22.0,34.0,79.0,50.0,33.0,5.0,21.0,7.0,10.0,91.0,2.0,164.0,74.0,9.0,35.0,0.0,42.0,23.0,102.0,39.0,43.0,0.0,0.0,15.0,5.0,4.0,271.0,82.0,110.0,76.0,1.0,3.0,0.0,54.0,27.0,68.0,0.0,133.0,1.0,0.0,80.0,23.0,138.0,10.0,165.0,24.0,0.0,12.0,38.0,0.0,0.0,0.0,11.0,273.0,361.0,82.0,42.0,70.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6.0,28.0,7.0,21.0,6.0,0.0,2.0,10.0,16.0,7.0,0.0,9.0,19.0,13.0,0.0,2.0,19.0,23.0,5.0,5.0,0.0,27.0,48.0,2.0,8.0,0.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3.0,1.0,4.0,19.0,2.0,0.0,0.0,38.0,6.0,15.0,29.0,48.0,35.0,2.0,8.0,6.0,14.0,4.0,11.0,12.0,18.0,58.0,0.0,31.0,50.0,0.0,4.0,99.0,41.0,0.0,18.0,4.0,4.0,22.0,87.0,42.0,164.0,116.0,84.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4.0,14.0,14.0,6.0,21.0,18.0,34.0,11.0,41.0,0.0,19.0,31.0,0.0,3.0,3.0,26.0,41.0,6.0,5.0,0.0,0.0,8.0,69.0,16.0,49.0,10.0,0.0,35.0,2.0,29.0,8.0,0.0,2.0,20.0,0.0,47.0,57.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,27.0,30.0,8.0,21.0,2.0,3.0,20.0,0.0,31.0,11.0,4.0,0.0,93.0,0.0,15.0,44.0,27.0,41.0,74.0,5.0,34.0,12.0,20.0,14.0,10.0,20.0,0.0,3.0,30.0,62.0,29.0,0.0,5.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3.0,1.0,37.0,22.0,7.0,15.0,19.0,29.0,31.0,60.0,5.0,0.0,46.0,10.0,11.0,0.0,21.0,181.0,16.0,58.0,1.0,122.0,23.0,49.0,0.0,104.0,38.0,0.0,133.0,15.0,79.0,0.0,89.0,75.0,16.0,0.0,277.0,44.0,39.0,4.0,195.0,71.0,0.0,0.0,79.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6.0,29.0,28.0,10.0,13.0,0.0,58.0,26.0,5.0,14.0,13.0,43.0,6.0,0.0,48.0,54.0,41.0,0.0,6.0,26.0,29.0,12.0,1.0,0.0,9.0,36.0,57.0,16.0,68.0,79.0,0.0,0.0,0.0,0.0,0.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,12.0,13.0,18.0,14.0,10.0,15.0,9.0,43.0,41.0,9.0,2.0,19.0,89.0,31.0,30.0,29.0,18.0,0.0,19.0,0.0,32.0,20.0,13.0,5.0,32.0,0.0,31.0,7.0,27.0,274.0,174.0,51.0,40.0,0.0,0.0,55.0,143.0,0.0,0.0,113.0,20.0,28.0,51.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,9.0,9.0,0.0,22.0,26.0,20.0,18.0,0.0,0.0,17.0,28.0,25.0,0.0,0.0,14.0,7.0,74.0,18.0,28.0,15.0,17.0,28.0,0.0,36.0,67.0,2.0,72.0,0.0,15.0,14.0,0.0,48.0,27.0,58.0,0.0,128.0,20.0,181.0,90.0,21.0,0.0,65.0,33.0,0.0,26.0,37.0,126.0,0.0,68.0,0.0,143.0,32.0,0.0,0.0,4.0,3.0,1.0,2.0,3.0,18.0,0.0,0.0,0.0,16.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,24.0,17.0,21.0,0.0,11.0,0.0,17.0,2.0,15.0,18.0,15.0,19.0,45.0,23.0,25.0,4.0,5.0,7.0,26.0,0.0,77.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,20.0,1.0,11.0,5.0,28.0,20.0,0.0,10.0,10.0,12.0,0.0,34.0,10.0,14.0,0.0,6.0,29.0,7.0,0.0,0.0,6.0,0.0,80.0,0.0,98.0,0.0,22.0,0.0,46.0,16.0,39.0,0.0,0.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,13.0,25.0,9.0,33.0,0.0,0.0,26.0,11.0,5.0,10.0,7.0,8.0,16.0,6.0,0.0,9.0,10.0,13.0,8.0,0.0,120.0,12.0,101.0,4.0,320.0,31.0,326.0,24.0,0.0,541.0,32.0,215.0,0.0,130.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
