,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
20,9.0,37.0,41.0,11.0,0.0,7.0,25.0,5.0,30.0,0.0,2.0,2.0,0.0,0.0,101.0,12.0,13.0,0.0,15.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21.0,5.0,11.0,3.0,5.0,0.0,1.0,13.0,46.0,2.0,0.0,20.0,55.0,3.0,35.0,13.0,0.0,52.0,0.0,64.0,0.0,6.0,10.0,14.0,29.0,1.0,19.0,14.0,1.0,35.0,23.0,1.0,39.0,1.0,8.0,9.0,12.0,14.0,107.0,20.0,100.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,7.0,19.0,22.0,6.0,6.0,14.0,5.0,3.0,12.0,1.0,11.0,1.0,0.0,0.0,0.0,106.0,29.0,0.0,12.0,23.0,0.0,32.0,8.0,36.0,62.0,0.0,112.0,0.0,0.0,0.0,0.0,92.0,44.0,30.0,169.0,0.0,34.0,16.0,0.0,243.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6.0,28.0,15.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,0.0,34.0,12.0,0.0,0.0,46.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13.0,0.0,23.0,17.0,33.0,13.0,32.0,10.0,0.0,27.0,50.0,22.0,26.0,6.0,0.0,0.0,31.0,17.0,0.0,0.0,54.0,24.0,12.0,19.0,0.0,42.0,0.0,0.0,8.0,45.0,12.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,28.0,9.0,0.0,29.0,36.0,1.0,4.0,46.0,66.0,44.0,0.0,8.0,12.0,40.0,79.0,0.0,0.0,0.0,62.0,2.0,1.0,24.0,0.0,33.0,0.0,8.0,1.0,19.0,68.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,519.0,202.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2.0,5.0,19.0,19.0,36.0,11.0,21.0,34.0,0.0,11.0,9.0,0.0,0.0,37.0,17.0,36.0,6.0,10.0,23.0,5.0,0.0,15.0,76.0,0.0,51.0,30.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,22.0,6.0,5.0,20.0,2.0,73.0,13.0,4.0,17.0,0.0,21.0,9.0,0.0,8.0,19.0,0.0,9.0,2.0,6.0,22.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,18.0,8.0,15.0,39.0,0.0,28.0,0.0,8.0,50.0,12.0,30.0,35.0,0.0,32.0,16.0,3.0,32.0,104.0,36.0,17.0,80.0,11.0,80.0,21.0,60.0,31.0,82.0,64.0,149.0,10.0,23.0,0.0,0.0,18.0,88.0,50.0,6.0,165.0,6.0,527.0,1.0,25.0,33.0,0.0,0.0,0.0,17.0,2.0,1.0,10.0,3.0,0.0,0.0,6.0,0.0,16.0,0.0,15.0,2.0,15.0,0.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,25.0,27.0,10.0,27.0,24.0,32.0,51.0,0.0,16.0,14.0,5.0,0.0,23.0,40.0,0.0,30.0,23.0,28.0,0.0,284.0,0.0,10.0,9.0,36.0,87.0,18.0,38.0,4.0,76.0,15.0,9.0,0.0,89.0,3.0,58.0,0.0,87.0,6.0,0.0,0.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
