,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
20,2.0,11.0,11.0,7.0,0.0,18.0,0.0,15.0,51.0,23.0,9.0,0.0,36.0,0.0,15.0,1.0,0.0,2.0,23.0,143.0,19.0,84.0,15.0,0.0,10.0,0.0,0.0,15.0,42.0,255.0,12.0,0.0,0.0,35.0,69.0,52.0,84.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,31.0,15.0,24.0,9.0,37.0,9.0,15.0,2.0,13.0,5.0,17.0,0.0,28.0,77.0,0.0,73.0,0.0,0.0,22.0,0.0,38.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,14.0,22.0,12.0,37.0,7.0,12.0,51.0,52.0,15.0,10.0,27.0,0.0,0.0,0.0,1.0,11.0,19.0,93.0,9.0,0.0,8.0,7.0,4.0,0.0,1.0,6.0,18.0,4.0,15.0,23.0,21.0,6.0,34.0,53.0,34.0,7.0,0.0,6.0,0.0,16.0,21.0,0.0,1.0,12.0,80.0,0.0,0.0,58.0,0.0,14.0,7.0,0.0,1.0,0.0,0.0,58.0,181.0,0.0,0.0,69.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6.0,6.0,28.0,22.0,7.0,17.0,0.0,28.0,16.0,29.0,51.0,0.0,11.0,8.0,6.0,6.0,9.0,11.0,11.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,13.0,31.0,0.0,0.0,7.0,111.0,38.0,10.0,54.0,2.0,0.0,0.0,11.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,14.0,18.0,23.0,10.0,0.0,1.0,22.0,0.0,14.0,0.0,0.0,32.0,11.0,7.0,0.0,22.0,186.0,54.0,33.0,44.0,7.0,16.0,24.0,139.0,104.0,13.0,0.0,65.0,0.0,24.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,13.0,38.0,13.0,0.0,15.0,44.0,13.0,9.0,36.0,18.0,10.0,0.0,42.0,9.0,3.0,4.0,4.0,37.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,11.0,18.0,6.0,35.0,1.0,0.0,2.0,3.0,8.0,0.0,0.0,14.0,12.0,18.0,15.0,23.0,22.0,28.0,26.0,4.0,0.0,50.0,19.0,0.0,45.0,41.0,0.0,0.0,453.0,10.0,0.0,16.0,6.0,1.0,16.0,3.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10.0,11.0,2.0,0.0,7.0,14.0,20.0,1.0,0.0,6.0,0.0,11.0,0.0,26.0,126.0,0.0,176.0,51.0,113.0,4.0,89.0,39.0,0.0,25.0,7.0,3.0,67.0,23.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10.0,6.0,49.0,12.0,33.0,8.0,17.0,18.0,28.0,17.0,18.0,0.0,77.0,18.0,3.0,7.0,20.0,84.0,1.0,9.0,11.0,8.0,2.0,14.0,0.0,11.0,9.0,1.0,6.0,3.0,0.0,4.0,0.0,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,19.0,12.0,15.0,7.0,16.0,3.0,5.0,14.0,57.0,18.0,37.0,17.0,0.0,21.0,5.0,1.0,116.0,7.0,20.0,35.0,0.0,8.0,42.0,31.0,18.0,23.0,68.0,8.0,37.0,244.0,57.0,8.0,30.0,98.0,0.0,0.0,0.0,304.0,0.0,1174.0,31.0,0.0,209.0,22.0,16.0,82.0,247.0,3.0,3.0,7.0,13.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
