,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
20,25.0,18.0,49.0,20.0,18.0,1.0,0.0,10.0,14.0,0.0,0.0,17.0,17.0,16.0,33.0,10.0,10.0,1.0,8.0,4.0,5.0,6.0,0.0,2.0,10.0,14.0,0.0,5.0,27.0,4.0,10.0,8.0,7.0,11.0,0.0,0.0,0.0,32.0,0.0,16.0,17.0,0.0,8.0,5.0,4.0,4.0,1.0,0.0,26.0,1.0,13.0,20.0,5.0,17.0,4.0,6.0,8.0,0.0,0.0,4.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7.0,0.0,29.0,0.0,62.0,7.0,5.0,18.0,68.0,6.0,12.0,11.0,0.0,0.0,30.0,241.0,0.0,30.0,0.0,120.0,113.0,2.0,14.0,148.0,108.0,0.0,0.0,15.0,38.0,77.0,175.0,0.0,11.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,27.0,0.0,12.0,12.0,2.0,11.0,11.0,16.0,25.0,20.0,12.0,17.0,35.0,10.0,4.0,10.0,5.0,20.0,15.0,13.0,2.0,9.0,7.0,13.0,16.0,37.0,0.0,0.0,73.0,12.0,8.0,13.0,35.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,25.0,29.0,0.0,0.0,9.0,25.0,12.0,10.0,34.0,1.0,19.0,0.0,31.0,0.0,0.0,38.0,0.0,11.0,2.0,41.0,16.0,16.0,20.0,24.0,22.0,23.0,51.0,23.0,4.0,32.0,0.0,0.0,136.0,158.0,0.0,0.0,1.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6.0,7.0,18.0,17.0,11.0,16.0,21.0,13.0,33.0,0.0,6.0,16.0,46.0,11.0,11.0,0.0,20.0,6.0,61.0,19.0,0.0,6.0,7.0,7.0,22.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17.0,2.0,13.0,8.0,0.0,20.0,0.0,7.0,16.0,34.0,50.0,0.0,28.0,0.0,13.0,12.0,32.0,0.0,172.0,144.0,26.0,0.0,0.0,0.0,27.0,0.0,0.0,39.0,0.0,28.0,297.0,38.0,76.0,23.0,65.0,0.0,18.0,0.0,17.0,12.0,23.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,12.0,47.0,42.0,12.0,27.0,0.0,3.0,2.0,0.0,66.0,29.0,72.0,0.0,60.0,31.0,0.0,0.0,10.0,27.0,46.0,10.0,13.0,2.0,30.0,18.0,0.0,5.0,28.0,4.0,14.0,8.0,72.0,9.0,53.0,1.0,26.0,0.0,0.0,30.0,0.0,79.0,0.0,41.0,11.0,0.0,0.0,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,22.0,17.0,0.0,23.0,15.0,25.0,44.0,8.0,10.0,25.0,28.0,15.0,0.0,55.0,1.0,49.0,11.0,26.0,49.0,5.0,5.0,0.0,28.0,14.0,8.0,4.0,13.0,74.0,7.0,5.0,67.0,44.0,0.0,17.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.0,3.0,28.0,4.0,35.0,26.0,0.0,29.0,78.0,74.0,18.0,69.0,37.0,14.0,141.0,0.0,0.0,0.0,67.0,14.0,0.0,12.0,2.0,2.0,0.0,9.0,6.0,16.0,8.0,21.0,12.0,0.0,37.0,33.0,18.0,20.0,0.0,9.0,23.0,23.0,0.0,68.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,6.0,14.0,0.0,0.0,68.0,0.0,14.0,34.0,47.0,0.0,1.0,41.0,0.0,42.0,0.0,9.0,74.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,31.0,0.0,10.0,13.0,19.0,0.0,5.0,16.0,8.0,0.0,16.0,4.0,0.0,52.0,8.0,22.0,0.0,40.0,0.0,7.0,20.0,15.0,0.0,30.0,34.0,120.0,10.0,0.0,54.0,28.0,59.0,6.0,0.0,23.0,0.0,25.0,24.0,0.0,11.0,16.0,5.0,0.0,0.0,31.0,0.0,0.0,8.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2.0,0.0,7.0,23.0,0.0,12.0,26.0,17.0,31.0,0.0,0.0,3.0,0.0,13.0,1.0,0.0,32.0,35.0,21.0,56.0,23.0,0.0,0.0,28.0,0.0,13.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,9.0,3.0,19.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,23.0,10.0,17.0,15.0,0.0,16.0,2.0,5.0,30.0,8.0,38.0,8.0,0.0,0.0,22.0,12.0,6.0,2.0,0.0,11.0,8.0,5.0,35.0,4.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,11.0,19.0,10.0,14.0,8.0,46.0,17.0,21.0,20.0,0.0,37.0,5.0,14.0,16.0,52.0,51.0,0.0,14.0,20.0,12.0,36.0,31.0,27.0,7.0,31.0,8.0,0.0,38.0,33.0,30.0,6.0,46.0,59.0,10.0,305.0,87.0,53.0,60.0,152.0,84.0,81.0,49.0,239.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,30.0,33.0,32.0,0.0,7.0,3.0,6.0,16.0,15.0,0.0,3.0,13.0,0.0,39.0,5.0,0.0,13.0,3.0,7.0,25.0,10.0,19.0,2.0,20.0,22.0,0.0,0.0,0.0,30.0,89.0,0.0,15.0,21.0,14.0,0.0,19.0,8.0,0.0,16.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,16.0,17.0,5.0,9.0,17.0,0.0,32.0,54.0,19.0,1.0,37.0,0.0,2.0,6.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,22.0,11.0,10.0,0.0,0.0,28.0,0.0,23.0,2.0,0.0,0.0,5.0,16.0,0.0,63.0,6.0,93.0,0.0,0.0,0.0,45.0,0.0,0.0,28.0,3.0,0.0,2.0,0.0,27.0,104.0,10.0,13.0,67.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,8.0,0.0,14.0,7.0,12.0,4.0,20.0,0.0,20.0,28.0,4.0,75.0,22.0,15.0,2.0,22.0,27.0,37.0,15.0,0.0,46.0,13.0,16.0,79.0,0.0,0.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,14.0,36.0,2.0,0.0,5.0,22.0,7.0,71.0,4.0,54.0,0.0,30.0,16.0,4.0,12.0,38.0,87.0,3.0,0.0,29.0,57.0,0.0,10.0,0.0,9.0,9.0,4.0,0.0,1.0,0.0,5.0,1.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,12.0,14.0,28.0,15.0,8.0,11.0,17.0,0.0,0.0,9.0,77.0,0.0,57.0,7.0,5.0,20.0,0.0,35.0,15.0,0.0,35.0,72.0,48.0,8.0,0.0,0.0,11.0,0.0,68.0,7.0,13.0,0.0,64.0,0.0,199.0,0.0,0.0,7.0,11.0,2.0,0.0,49.0,13.0,20.0,0.0,41.0,15.0,61.0,0.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,29.0,13.0,0.0,21.0,22.0,10.0,57.0,12.0,4.0,0.0,16.0,14.0,24.0,30.0,33.0,10.0,0.0,0.0,11.0,0.0,0.0,20.0,25.0,79.0,6.0,107.0,0.0,13.0,17.0,18.0,0.0,83.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,15.0,5.0,24.0,2.0,32.0,6.0,1.0,1.0,36.0,43.0,15.0,28.0,142.0,57.0,23.0,48.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11.0,28.0,32.0,31.0,49.0,17.0,4.0,8.0,126.0,30.0,0.0,33.0,42.0,0.0,31.0,62.0,69.0,2.0,97.0,0.0,19.0,15.0,45.0,0.0,4.0,0.0,0.0,43.0,19.0,221.0,39.0,3.0,15.0,0.0,5.0,79.0,9.0,5.0,0.0,16.0,24.0,76.0,80.0,45.0,0.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
