,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
23,9.0,7.0,22.0,8.0,0.0,5.0,66.0,10.0,1.0,11.0,14.0,3.0,6.0,9.0,22.0,41.0,29.0,14.0,0.0,13.0,13.0,17.0,27.0,11.0,18.0,0.0,20.0,0.0,6.0,2.0,12.0,36.0,33.0,5.0,8.0,20.0,68.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13.0,18.0,8.0,15.0,25.0,9.0,17.0,28.0,41.0,51.0,11.0,25.0,66.0,47.0,2.0,46.0,70.0,41.0,0.0,26.0,34.0,26.0,19.0,21.0,19.0,12.0,0.0,82.0,12.0,72.0,74.0,0.0,0.0,0.0,16.0,27.0,0.0,0.0,140.0,29.0,0.0,0.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,18.0,8.0,0.0,11.0,1.0,16.0,78.0,20.0,80.0,33.0,0.0,5.0,8.0,2.0,35.0,3.0,14.0,41.0,5.0,28.0,118.0,0.0,0.0,7.0,22.0,18.0,96.0,209.0,0.0,40.0,21.0,28.0,12.0,0.0,40.0,29.0,24.0,98.0,0.0,19.0,42.0,62.0,0.0,166.0,56.0,50.0,132.0,264.0,0.0,57.0,16.0,154.0,28.0,12.0,0.0,0.0,3.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,11.0,40.0,3.0,12.0,0.0,21.0,37.0,0.0,95.0,8.0,0.0,0.0,81.0,6.0,0.0,3.0,99.0,0.0,124.0,58.0,55.0,47.0,0.0,43.0,20.0,0.0,0.0,24.0,9.0,3.0,11.0,0.0,18.0,5.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,19.0,9.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,12.0,5.0,1.0,11.0,11.0,0.0,0.0,7.0,5.0,8.0,0.0,11.0,0.0,7.0,17.0,10.0,1.0,0.0,0.0,0.0,19.0,13.0,0.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,21.0,32.0,13.0,0.0,9.0,32.0,33.0,0.0,33.0,0.0,26.0,0.0,26.0,26.0,71.0,0.0,0.0,24.0,0.0,27.0,18.0,60.0,36.0,0.0,14.0,0.0,0.0,21.0,0.0,339.0,0.0,6.0,6.0,0.0,33.0,7.0,17.0,24.0,0.0,18.0,23.0,33.0,0.0,0.0,18.0,105.0,0.0,191.0,0.0,184.0,36.0,0.0,0.0,149.0,0.0,67.0,0.0,2.0,0.0,28.0,0.0,41.0,0.0,38.0,8.0,0.0,19.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,23.0,3.0,14.0,27.0,9.0,9.0,13.0,8.0,3.0,20.0,10.0,6.0,0.0,1.0,8.0,0.0,0.0,0.0,8.0,22.0,0.0,37.0,0.0,33.0,0.0,50.0,0.0,2.0,42.0,0.0,0.0,17.0,13.0,16.0,23.0,0.0,22.0,13.0,0.0,0.0,22.0,108.0,47.0,0.0,255.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,36.0,2.0,60.0,18.0,31.0,26.0,67.0,22.0,19.0,77.0,32.0,46.0,31.0,3.0,192.0,32.0,76.0,55.0,0.0,0.0,25.0,6.0,23.0,0.0,39.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,26.0,0.0,11.0,14.0,36.0,39.0,31.0,43.0,24.0,10.0,13.0,0.0,177.0,49.0,23.0,0.0,0.0,0.0,66.0,0.0,1.0,13.0,0.0,10.0,25.0,5.0,86.0,0.0,294.0,112.0,0.0,151.0,39.0,152.0,73.0,6.0,8.0,4.0,263.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.0,24.0,14.0,41.0,48.0,6.0,16.0,8.0,5.0,0.0,41.0,14.0,13.0,0.0,55.0,0.0,48.0,0.0,68.0,117.0,0.0,37.0,23.0,21.0,30.0,18.0,0.0,23.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,17.0,7.0,9.0,48.0,0.0,63.0,7.0,19.0,22.0,0.0,12.0,5.0,0.0,0.0,9.0,7.0,14.0,0.0,66.0,39.0,17.0,62.0,31.0,0.0,25.0,15.0,1.0,22.0,11.0,5.0,43.0,16.0,63.0,0.0,10.0,0.0,0.0,149.0,17.0,0.0,21.0,26.0,0.0,36.0,0.0,0.0,15.0,122.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
