,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
22,42.0,18.0,10.0,7.0,0.0,2.0,47.0,0.0,5.0,16.0,21.0,13.0,0.0,2.0,7.0,32.0,6.0,107.0,38.0,16.0,0.0,70.0,37.0,42.0,274.0,83.0,0.0,28.0,0.0,13.0,58.0,18.0,25.0,202.0,0.0,5.0,173.0,0.0,37.0,0.0,0.0,0.0,124.0,29.0,9.0,0.0,8.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,36.0,31.0,25.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,10.0,5.0,19.0,26.0,4.0,18.0,0.0,5.0,0.0,27.0,0.0,25.0,5.0,21.0,14.0,6.0,0.0,17.0,87.0,0.0,46.0,44.0,71.0,225.0,119.0,274.0,84.0,16.0,0.0,9.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,35.0,31.0,9.0,4.0,6.0,18.0,16.0,0.0,39.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,9.0,0.0,28.0,1.0,0.0,15.0,0.0,18.0,18.0,4.0,0.0,2.0,0.0,0.0,25.0,0.0,82.0,0.0,0.0,0.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,28.0,13.0,0.0,39.0,44.0,0.0,83.0,0.0,36.0,75.0,59.0,17.0,75.0,19.0,0.0,14.0,5.0,0.0,110.0,21.0,33.0,29.0,6.0,0.0,15.0,0.0,199.0,0.0,0.0,43.0,158.0,61.0,70.0,11.0,51.0,83.0,6.0,0.0,0.0,0.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,31.0,22.0,8.0,30.0,3.0,14.0,55.0,20.0,0.0,10.0,102.0,4.0,24.0,10.0,28.0,41.0,12.0,4.0,22.0,0.0,21.0,4.0,56.0,15.0,0.0,60.0,0.0,16.0,0.0,0.0,11.0,12.0,11.0,0.0,0.0,2.0,114.0,0.0,48.0,0.0,23.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,16.0,0.0,42.0,23.0,16.0,23.0,7.0,9.0,19.0,16.0,13.0,53.0,36.0,0.0,27.0,56.0,0.0,124.0,49.0,0.0,113.0,80.0,3.0,201.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,16.0,8.0,0.0,0.0,0.0,14.0,29.0,4.0,0.0,13.0,63.0,2.0,8.0,9.0,43.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32.0,21.0,7.0,0.0,60.0,24.0,11.0,32.0,8.0,9.0,15.0,16.0,35.0,0.0,0.0,19.0,5.0,18.0,38.0,0.0,30.0,59.0,0.0,0.0,140.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12.0,9.0,4.0,4.0,1.0,6.0,3.0,8.0,26.0,0.0,90.0,18.0,16.0,0.0,212.0,5.0,17.0,14.0,32.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,27.0,5.0,15.0,4.0,20.0,13.0,2.0,13.0,0.0,8.0,46.0,17.0,27.0,12.0,0.0,43.0,0.0,6.0,17.0,68.0,66.0,0.0,137.0,0.0,45.0,75.0,0.0,0.0,3.0,17.0,49.0,6.0,21.0,3.0,24.0,0.0,114.0,8.0,0.0,0.0,15.0,12.0,0.0,23.0,0.0,33.0,0.0,0.0,0.0,65.0,47.0,19.0,62.0,0.0,56.0,18.0,14.0,16.0,0.0,121.0,78.0,0.0,30.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
