,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117
34,7.0,1.0,31.0,0.0,49.0,23.0,1.0,9.0,24.0,54.0,8.0,56.0,4.0,9.0,0.0,37.0,29.0,9.0,13.0,34.0,31.0,42.0,21.0,25.0,6.0,33.0,107.0,75.0,1.0,2.0,25.0,5.0,0.0,16.0,0.0,0.0,51.0,9.0,5.0,0.0,92.0,0.0,34.0,25.0,0.0,7.0,0.0,33.0,3.0,0.0,0.0,14.0,27.0,30.0,4.0,21.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,441.0,26.0,37.0,14.0,0.0,40.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,18.0,17.0,10.0,34.0,29.0,26.0,52.0,17.0,6.0,4.0,15.0,0.0,49.0,31.0,17.0,9.0,80.0,0.0,12.0,98.0,0.0,0.0,157.0,229.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,2.0,6.0,4.0,5.0,4.0,24.0,21.0,33.0,1.0,5.0,10.0,16.0,93.0,13.0,15.0,5.0,25.0,82.0,0.0,13.0,12.0,42.0,10.0,144.0,26.0,188.0,0.0,8.0,39.0,34.0,39.0,0.0,194.0,116.0,35.0,18.0,202.0,0.0,0.0,0.0,295.0,0.0,96.0,3.0,3.0,0.0,0.0,10.0,190.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,26.0,17.0,39.0,0.0,17.0,15.0,8.0,3.0,0.0,0.0,25.0,0.0,32.0,14.0,0.0,23.0,11.0,4.0,61.0,0.0,67.0,60.0,88.0,0.0,66.0,0.0,4.0,8.0,6.0,36.0,7.0,34.0,2.0,39.0,12.0,9.0,24.0,20.0,50.0,28.0,15.0,0.0,22.0,24.0,0.0,0.0,588.0,15.0,21.0,430.0,0.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,39.0,0.0,51.0,63.0,20.0,0.0,9.0,23.0,18.0,0.0,14.0,96.0,25.0,2.0,25.0,15.0,0.0,15.0,2.0,2.0,15.0,19.0,26.0,37.0,39.0,0.0,26.0,0.0,29.0,13.0,121.0,17.0,3.0,27.0,113.0,34.0,37.0,0.0,54.0,0.0,121.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3.0,9.0,8.0,35.0,13.0,16.0,10.0,3.0,1.0,0.0,14.0,0.0,39.0,23.0,25.0,42.0,52.0,17.0,22.0,28.0,40.0,12.0,145.0,112.0,95.0,4.0,3.0,0.0,61.0,0.0,0.0,0.0,9.0,68.0,0.0,15.0,0.0,0.0,344.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,13.0,1.0,58.0,26.0,8.0,0.0,2.0,16.0,14.0,12.0,6.0,0.0,4.0,27.0,15.0,41.0,22.0,0.0,22.0,19.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,14.0,1.0,0.0,38.0,0.0,12.0,19.0,14.0,9.0,19.0,26.0,0.0,11.0,42.0,7.0,27.0,37.0,0.0,24.0,6.0,5.0,25.0,45.0,0.0,49.0,35.0,4.0,22.0,16.0,11.0,56.0,27.0,23.0,12.0,0.0,0.0,10.0,0.0,0.0,49.0,0.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,19.0,10.0,10.0,25.0,1.0,12.0,7.0,25.0,0.0,19.0,53.0,50.0,12.0,0.0,0.0,16.0,0.0,29.0,15.0,9.0,0.0,35.0,19.0,4.0,0.0,43.0,0.0,133.0,1.0,26.0,9.0,35.0,46.0,0.0,362.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.0,22.0,22.0,4.0,27.0,20.0,10.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,71.0,17.0,4.0,23.0,16.0,21.0,2.0,18.0,0.0,29.0,8.0,28.0,23.0,18.0,32.0,40.0,39.0,54.0,42.0,0.0,60.0,99.0,3.0,0.0,0.0,64.0,0.0,21.0,5.0,9.0,0.0,117.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
